Code,Theme,Theme.Code,Practice,Practice.Code,Subpractice,Subpractice.Code,Subpractice.S,Subpractice.Suffix,Definition,Notes,Linked.Tab,Linked.Col,Depreciated,Ref_Source,Ref_Name,Ref_Link,Ref_Match,Ref_Notes,Ref2_Source,Ref2_Name,Ref2_Link,Ref2_Match,Ref2_Notes
a1,Agroforestry,Agroforestry,FMNR,FMNR,Farmer Managed Natural Regeneration,FMNR,FMNR,NA,"Systematic regrowth of trees or shrubs on agricultural, forest or pasture land. FMNR is used in areas where there are stumps that can coppice or seeds that can germinate. Sometimes called farmer assisted regeneration.",Typically defined as FMNR or farmer assisted regeneration by author in text.,Int.Out,ED.Int,FALSE,,,,,,,,,,
a3,Agroforestry,Agroforestry,Alleycropping,Al,Alleycropping (N fixing),Al+N,AgFor Alley (Nfix),Nfix,Intercropping with rows or alleys of nitrogen fixing trees or woody shrubs.,,Int.Out,ED.Int,FALSE,,,,,,,,,,
a4,Agroforestry,Agroforestry,Alleycropping,Al,Alleycropping (Non N fixing),Al-N,AgFor Alley (nonNfix),nonNfix,Intercropping with rows or alleys of trees or woody shrubs that do not fix nitrogen.,,Int.Out,ED.Int,FALSE,,,,,,,,,,
a4.1,Agroforestry,Agroforestry,Alleycropping,Al,Alleycropping (Mixed),Al±N,AgFor Alley (Mixed),Mixed,Intercropping with rows or alleys of a mixture of trees or woody shrubs of which some but not all fix nitrogen.,,Int.Out,ED.Int,FALSE,,,,,,,,,,
a14,Agroforestry,Agroforestry,Alleycropping,Al,Alleycropping (Unspecified),Al,AgFor Alley (noID),NoID,Intercropping with rows or alleys of trees or woody shrubs where no information about the type of plant is given.,,Int.Out,ED.Int,FALSE,,,,,,,,,,
a8,Agroforestry,Agroforestry,Parklands,Pa,Parklands,Pa,Parklands,NA,Intercropping under scattered or regularly planted trees.,Typically named parklands in the document text. Difference with scattered trees is unclear.,Int.Out,ED.Int,FALSE,,,,,,,,,,
a8.1,Agroforestry,Agroforestry,Parklands,Pa,Scattered Trees,ST,Scattered Trees,NA,"Unspecified sparse or scattered trees incorporated into croplands, pastures or rangelands.","Difference with Parklands is unclear, other than parklands is not mentioned in the definition.",Int.Out,ED.Int,FALSE,,,,,,,,,,
a9,Agroforestry,Agroforestry,Boundary Planting,BP,Tree Windbreak,TW,Windbreak,NA,Barriers of trees or shrubs planted along field boundaries to protect plants against wind.,,AF.Out,AF.Level.Name,FALSE,,,,,,,,,,
a10,Agroforestry,Agroforestry,Boundary Planting,BP,Living Fences or Hedgerows,LF,Hedge,NA,Living fence and hedges are planted in rows around the edge of the field to reduce the effect of wind or runoff on crops.,"Note some early agroforestry papers named alleycropping 'hedgerows', but any form of hedge intercropped within a field should be categorized as alleycropping.",AF.Out,AF.Level.Name,FALSE,,,,,,,,,,
a11,Agroforestry,Agroforestry,Silvopasture,Si,Silvopasture,Si,Silvopastoral,NA,Combination of trees or shrubs with pasture (forage grasses) and livestock,,AF.Out,AF.Level.Name,FALSE,,,,,,,,,,
a22,Agroforestry,Agroforestry,Silvopasture,Si,Agrosilvopastoral System,AgSi,Agrosilvopastoral,NA,Combination of livestock production systems (pastures) with trees or shrubs and crops.,,AF.Out,AF.Level.Name,FALSE,,,,,,,,,,
a12,Agroforestry,Agroforestry,Multistrata Agroforestry,MA,Multistrata Agroforestry,MA,AgFor Multistrata,NA,"Multistorey systems agroforestry systems have several spatial strata occupied by different tree (i.e. woody) crops (coffee, tea, cacao, banana etc).","Typically identified as multistrata in the document text. 
- include two or more vegetation layers and more than one tree species 
- multiple tree crop species and crops (N-fixing legume cover crops)",Int.Out,ED.Int,FALSE,,,,,,,,,,
a15,Agroforestry,Agroforestry,Agroforestry Pruning,AP,Tree Prunings Applied (Unspecified),TPA,AgFor Prune (noID),NoID,"Prunings (leaves, branches, etc.) of an unidentified woody plant were retained/returned to the cropping area, but it is unknown if they were mulched or incorporated.","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",Res.Out,M.Level.Name,FALSE,,,,,,,,,,
a15.1,Agroforestry,Agroforestry,Agroforestry Pruning,AP,Tree Prunings Mulched (Unspecified),TPM,AgFor Prune Mulch (noID),NoID,"Prunings (leaves, branches, etc.) of an unidentified woody plant were applied to the cropping area as mulch (prunings on the surface).","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",Res.Out,M.Level.Name,FALSE,,,,,,,,,,
a15.2,Agroforestry,Agroforestry,Agroforestry Pruning,AP,Tree Prunings Incorporated (Unspecified),TPI,AgFor Prune Incorp (noID),NoID,"Prunings (leaves, branches, etc.) of an unidentified woody plant were applied to the cropping area and incorporated into the soil (e.g., by ploughing).","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",Res.Out,M.Level.Name,FALSE,,,,,,,,,,
a16,Agroforestry,Agroforestry,Agroforestry Pruning,AP,Tree Prunings Applied (N fixing),TAP+N,AgFor Prune (Nfix),Nfix,"Prunings (leaves, branches, etc.) of a nitrogen fixing (leguminous) woody plant residues were retained/returned to the cropping area, but it is unknown if they were mulched or incorporated.","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",Res.Out,M.Level.Name,FALSE,,,,,,,,,,
a16.1,Agroforestry,Agroforestry,Agroforestry Pruning,AP,Tree Prunings Mulched (N fixing),TPM+N,AgFor Prune Mulch (Nfix),Nfix,"Prunings (leaves, branches, etc.) of a nitrogen fixing (leguminous) woody plant applied were applied to the cropping area as mulch (prunings on the surface).","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",Res.Out,M.Level.Name,FALSE,,,,,,,,,,
a16.2,Agroforestry,Agroforestry,Agroforestry Pruning,AP,Tree Prunings Incorporated (N fixing),TPI+N,AgrFor Prune Incorp (Nfix),Nfix,"Prunings (leaves, branches, etc.) of a nitrogen fixing (leguminous) woody plant applied were applied to the cropping area and incorporated into the soil (e.g., by ploughing).","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",Res.Out,M.Level.Name,FALSE,,,,,,,,,,
a17,Agroforestry,Agroforestry,Agroforestry Pruning,AP,Tree Prunings Applied (Non N fixing),TPA-N,AgrFor Prune (nonNfix),nonNfix,"Prunings (leaves, branches, etc.) of a non-nitrogen fixing (not leguminous) woody plant were retained/returned to the cropping area, but it is unknown if they were mulched or incorporated.","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",Res.Out,M.Level.Name,FALSE,,,,,,,,,,
a17.1,Agroforestry,Agroforestry,Agroforestry Pruning,AP,Tree Prunings Mulched (Non N fixing),TPM-N,AgFor Prune Mulch (nonNfix),nonNfix,"Prunings (leaves, branches, etc.) of a non-nitrogen fixing (not leguminous) woody plant applied were applied to the cropping area as mulch (prunings on the surface).","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",Res.Out,M.Level.Name,FALSE,,,,,,,,,,
a17.2,Agroforestry,Agroforestry,Agroforestry Pruning,AP,Tree Prunings Incorporated (Non N fixing),TPI-N,AgFor Prune Incorp (nonNfix),nonNfix,"Prunings (leaves, branches, etc.) of a non-nitrogen fixing (not leguminous) woody plant applied were applied to the cropping area and incorporated into the soil (e.g., by ploughing).","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",Res.Out,M.Level.Name,FALSE,,,,,,,,,,
a18,Agroforestry,Agroforestry,Agroforestry Pruning,AP,Tree Pruning (Fate Unknown),TP,AgFor Prune (Unknown),Unknown,"The cutting or coppicing of woody agroforestry species, generally to reduce competition or shading with intercrops, but the fate of the residues is unknown (it is unclear if was applied or removed).","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",Res.Out,M.Level.Name,FALSE,,,,,,,,,,
a19.1,Agroforestry,Agroforestry,Agroforestry Fallow,AF,Agroforestry Fallow (N fixing),AF+N,AgFor Fallow (Nfix),Nfix,Planting fallows with short-rotation woody or perennial species that fix nitrogen.,,Rot.Out,ED.Rot,FALSE,,,,,,,,,,
a19.2,Agroforestry,Agroforestry,Agroforestry Fallow,AF,Agroforestry Fallow (Non N fixing),AF-N,AgFor Fallow (nonNfix),nonNfix,Planting fallows with short-rotation woody or perennial species that do not fix nitrogen.,,Rot.Out,ED.Rot,FALSE,,,,,,,,,,
a19.3,Agroforestry,Agroforestry,Agroforestry Fallow,AF,Agroforestry Fallow (Unspecified),AF,AgFor Fallow (NoID),NoID,Planting fallows with short-rotation woody or perennial species of an unknown type.,,Rot.Out,ED.Rot,FALSE,,,,,,,,,,
a99,Agroforestry,Agroforestry,Other Agroforestry,OA,Other Agroforestry,OA,AgFor Other,,Agroforestry practice that does not meet definitions in Agroforestry practice theme.,Please notify ERA team if you use this code.,AF.Out,AF.Level.Name,FALSE,,,,,,,,,,
b38,Soil Management,Soil Management,Reduced Tillage,RT,No or Zero Tillage,NT,NoTill,NA,No or zero tillage. Planted may use a dibble stick or other direct seeding methods.,As defined by the author. Zero tillage can be compared to to reduced or conventional tillage.,Till.Out,Till.Level.Name,FALSE,,,,,,,,,,
b39,Soil Management,Soil Management,Reduced Tillage,RT,Reduced or Minimum Tillage,RT,MinTill,NA,"Any tillage practice which reduces, but does not eliminate (no or zero tillage), soil disturbance. Examples include strip tillage, ripping, subsoiling or reducing the number of tillage passes or depth of tillage.",Typically defined by the author. Reduced tillage can be compared to conventional tillage.,Till.Out,Till.Level.Name,FALSE,,,,,,,,,,
b26,Soil Management,Soil Management,Mulch,Mu,Plastic Mulch,PM,Plastic Mulch,NA,Mulching with plastic materials on the soil surface.,,Res.Out,M.Level.Name,FALSE,,,,,,,,,,
b27,Soil Management,Soil Management,Mulch,Mu,Mulch (Unspecified Plants),Mu,Mulch (noID),NoID,"Mulching with plant residues from an unspecified plant type, residues remain on soil surface and are not incorporated or burnt (for example).",Residues can be from the field or brought to the field from outside field boundaries. Residues should not be from agroforestry (see the Tree Pruning Practice under the Agroforestry Theme).,Res.Out,M.Level.Name,FALSE,,,,,,,,,,
b27.1,Soil Management,Soil Management,Mulch,Mu,Mulch (N fixing),Mu+N,Mulch (Nfix),Nfix,"Mulching with herbaceous plant residues from a nitrogen fixing (leguminous) plant, residues remain on soil surface and are not incorporated or burnt (for example).",Residues can be from the field or brought to the field from outside field boundaries. Residues should not be from agroforestry (see the Tree Pruning Practice under the Agroforestry Theme).,Res.Out,M.Level.Name,FALSE,,,,,,,,,,
b27.2,Soil Management,Soil Management,Mulch,Mu,Mulch (Non N fixing),Mu-N,Mulch (nonNfix),nonNfix,"Mulching with herbaceous plant residues from a non-nitrogen fixing (not leguminous) plant, residues remain on soil surface and are not incorporated or burnt (for example).",Residues can be from the field or brought to the field from outside field boundaries. Residues should not be from agroforestry (see the Tree Pruning Practice under the Agroforestry Theme).,Res.Out,M.Level.Name,FALSE,,,,,,,,,,
b27.3,Soil Management,Soil Management,Mulch,Mu,Mulch (N fixing & Non N fixing),Mu±N,Mulch (Mixed),Mixed,"Mulching with a mixture of herbaceous plant residues from both nitrogen-fixing (leguminous) and non-nitrogen fixing plant, residues remain on soil surface and are not incorporated or burnt (for example).",Residues can be from the field or brought to the field from outside field boundaries. Residues should not be from agroforestry (see the Tree Pruning Practice under the Agroforestry Theme).,Res.Out,M.Level.Name,FALSE,,,,,,,,,,
b51,Soil Management,Soil Management,Mulch,Mu,Mulch (Other Materials),MuO,Mulch (Other),Other,Mulching on the soil surface with organic materials that are not herbaceous plants or plastic. This includes materials like wood shavings.,,Res.Out,M.Level.Name,FALSE,,,,,,,,,,
b11.1,Soil Management,Soil Management,Green Manure,GM,Green Manure (N fixing In Time),GMt+N,Green Manure (Nfix; Time),Nfix;Time,"Non-harvested nitrogen fixing (leguminous) plants grown at a different time to harvested crops in system. For example a rotation where in season one a maize main crop is planted (from which grain is harvested) then the next season (or in-between seasons) a green manure is planted (from which no components were harvested for consumption, fibre or sale).",Green manures may be associated with Mulch codes in the Soil Management theme if their residues remain on the surface of the field or residue incorporation subpractices when ploughed into the field.,Rot.Out,ED.Rot,FALSE,,,,,,,,,,
b11.2,Soil Management,Soil Management,Green Manure,GM,Green Manure (N fixing In Space),GMs+N,Green Manure (Nfix; Space),Nfix;Space,"Non-harvested nitrogen fixing (leguminous) plants grown at the same time as harvested crops. For example a rotation where in season one a maize main crop is planted (from which grain is harvested) then the next season (or in-between seasons) a green manure is planted (from which no components were harvested for consumption, fibre or sale).",Green manures may be associated with Mulch codes in the Soil Management theme if their residues remain on the surface of the field or residue incorporation subpractices when ploughed into the field.,Int.Out,ED.Int,FALSE,,,,,,,,,,
b13.2,Soil Management,Soil Management,Green Manure,GM,Green Manure (Mixed In Space),GMs±N,Green Manure (Mixed; Space),Mixed;Space,"Non-harvested mixed nitrogen fixing (leguminous) and non-nitrogen fixing plants grown at the same time as harvested crops. For example a rotation where in season one a maize main crop is planted (from which grain is harvested) then the next season (or in-between seasons) a green manure is planted (from which no components were harvested for consumption, fibre or sale).",Green manures may be associated with Mulch codes in the Soil Management theme if their residues remain on the surface of the field or residue incorporation subpractices when ploughed into the field.,Int.Out,ED.Int,FALSE,,,,,,,,,,
b12.1,Soil Management,Soil Management,Green Manure,GM,Green Manure (Non N fixing In Time),GMt-N,Green Manure (nonNfix; Time),nonNfix;Time,"Non-harvested non-nitrogen fixing (not leguminous) plants grown at a different time to harvested crops in system.For example a rotation where in season one a maize main crop is planted (from which grain is harvested) then the next season (or in-between seasons) a green manure is planted (from which no components were harvested for consumption, fibre or sale).",Green manures may be associated with Mulch codes in the Soil Management theme if their residues remain on the surface of the field or residue incorporation subpractices when ploughed into the field.,Rot.Out,ED.Rot,FALSE,,,,,,,,,,
b12.2,Soil Management,Soil Management,Green Manure,GM,Green Manure (Non N fixing In Space),GMs-N,Green Manure (nonNfix; Space),nonNfix;Space,"Non-harvested non-nitrogen fixing (not leguminous) plants grown at the same time as harvested crops.For example a rotation where in season one a maize main crop is planted (from which grain is harvested) then the next season (or in-between seasons) a green manure is planted (from which no components were harvested for consumption, fibre or sale).",Green manures may be associated with Mulch codes in the Soil Management theme if their residues remain on the surface of the field or residue incorporation subpractices when ploughed into the field.,Int.Out,ED.Int,FALSE,,,,,,,,,,
b28,Soil Management,Soil Management,Biochar,Bi,Biochar,Bi,Biochar,NA,Application of biochar.,,Fert.Out,F.Level.Name,FALSE,,,,,,,,,,
b32,Soil Management,Soil Management,pH Control,pH,Liming or Calcium Addition,pH,pH,NA,"Application of lime (e.g., dolomite) or forms of calcium (e.g. oyster shells) to the field to raise the pH.",,pH.Out,pH.Level.Name,FALSE,,,,,,,,,,
b40,Soil Management,Soil Management,Crop Residue,CR,Crop Residue Unresolved (Unspecified),CR,Residue Unkn (NoID; NoFate),NoID; NoFate,"Crop residues from an unspecified type of plant are retained in the field, but it is unknown if the residues are mulched or incorporated",This practice should not be used for Agroforestry residues (use the agroforestry theme).,Res.Out,M.Level.Name,FALSE,,,,,,,,,,
b40.1,Soil Management,Soil Management,Crop Residue,CR,Crop Residue Unresolved (N fixing),CR+N,Residue Unkn (Nfix; NoFate),Nfix;NoFate,"Crop residues from a nitrogen-fixing (leguminous) plant are retained in the field, but it is unknown if the residues are mulched or incorporated",This practice should not be used for Agroforestry residues (use the agroforestry theme).,Res.Out,M.Level.Name,FALSE,,,,,,,,,,
b40.2,Soil Management,Soil Management,Crop Residue,CR,Crop Residue Unresolved (Non N fixing),CR-N,Residue Unkn (nonNfix; NoFate),nonNfix;NoFate,"Crop residues from a non nitrogen-fixing (not leguminous) plant are retained in the field, but it is unknown if the residues are mulched or incorporated",This practice should not be used for Agroforestry residues (use the agroforestry theme).,Res.Out,M.Level.Name,FALSE,,,,,,,,,,
b41,Soil Management,Soil Management,Crop Residue Incorporation,CRI,Crop Residue Incorporation (Unspecified),CRI,Residue Incorp (noID),NoID,The incorporation of crop residues from an unspecified type of plant. Residues may be brought to the field as biomass transfer.,This practice should not be used for Agroforestry residues (use the agroforestry theme).,Res.Out,M.Level.Name,FALSE,,,,,,,,,,
