Comp.Code,Component,Comp.Level1,Comp.Level2,Comp.Level3,C1,C2,C3
1.1,Bark,Bark,Bark,,1,1,
2.1,Biomass/Fodder,Biomass,Biomass/Fodder,,2,1,
2.1.1,Biomass/Fodder - Above + Below Ground,Biomass,Biomass/Fodder,Above+Below Ground,2,1,1
2.1.2,Biomass/Fodder - Above Ground,Biomass,Biomass/Fodder,Above Ground,2,1,2
2.1.3,Biomass/Fodder - Below Ground,Biomass,Biomass/Fodder,Below Ground,2,1,3
2.1.4,Biomass/Fodder - Branches,Biomass,Biomass/Fodder,Branches,2,1,4
2.1.5,Biomass/Fodder - Leaf Litter,Biomass,Biomass/Fodder,Leaf Litter,2,1,5
2.1.6,Biomass/Fodder - Leaves,Biomass,Biomass/Fodder,Leaves,2,1,6
2.1.7,Biomass/Fodder - Leaves + Stalks/Branches,Biomass,Biomass/Fodder,Leaves+Stalks/Branches,2,1,7
2.1.8,Biomass/Fodder - Stalks,Biomass,Biomass/Fodder,Stalks,2,1,8
2.1.9,Biomass/Fodder - Stalks/Branches,Biomass,Biomass/Fodder,Stalks/Branches,2,1,9
2.1.9,Haulm,Biomass,Biomass/Fodder,Stalks/Branches,2,1,9
2.1.10,Biomass/Fodder - Stover,Biomass,Biomass/Fodder,Stover,2,1,10
3.1,Bulb,Tuber/Root/Bulb,Bulb,,3,1,
3.1.1,Bulb (Marketable Yield),Tuber/Root/Bulb,Bulb,Marketable Yield,3,1,1
3.1.2,Bulb (Non-Marketable Yield),Tuber/Root/Bulb,Bulb,Non-Marketable Yield,3,1,2
3.1.3,Bulb (Total Yield),Tuber/Root/Bulb,Bulb,Total Yield,3,1,3
3.1.4,Bulb (Unspecified),Tuber/Root/Bulb,Bulb,Unspecified,3,1,4
4.1,Cane,Stem,Stem,,4,1,
5.1,Charcoal,Charcoal,Charcoal,,5,1,
6.1.1,Corm (Marketable Yield),Tuber/Root/Bulb,Corm,Marketable Yield,6,1,1
6.1.2,Corm (Non-Marketable Yield),Tuber/Root/Bulb,Corm,Non-Marketable Yield,6,1,2
6.1.3,Corm (Total Yield),Tuber/Root/Bulb,Corm,Total Yield,6,1,3
6.1.4,Corm (Unspecified),Tuber/Root/Bulb,Corm,Unspecified,6,1,4
6.2.1,Cormel (Marketable Yield),Tuber/Root/Bulb,Cormel,Marketable Yield,6,2,1
6.2.2,Cormel (Non-Marketable Yield),Tuber/Root/Bulb,Cormel,Non-Marketable Yield,6,2,2
6.2.3,Cormel (Total Yield),Tuber/Root/Bulb,Cormel,Total Yield,6,2,3
6.2.4,Cormel (Unspecified),Tuber/Root/Bulb,Cormel,Unspecified,6,2,4
7.1,Eggs,Eggs,Eggs,,7,1,
8.1,Fibre/Lint,Fibre,Fibre/Lint,,8,1,
9.1,Flowers,Flower,Flowers,,9,1,
10.1.1,Fruit (Marketable Yield),Fruit,Fruit,Marketable Yield,10,1,1
10.1.2,Fruit (Non-Marketable Yield),Fruit,Fruit,Non-Marketable Yield,10,1,2
10.1.3,Fruit (Total Yield),Fruit,Fruit,Total Yield,10,1,3
10.1.4,Fruit (Unspecified),Fruit,Fruit,Unspecified,10,1,4
11.1,Grain/Seed,Seed,Grain/Seed,,11,1,
12.1,Gum/Sap,Sap,Gum/Sap,,12,1,
13.1,Hide,Hide,Hide,,13,1,
14.1,Honey,Honey,Honey,,14,1,
15.1,Juice,Juice,Juice,,15,1,
16.1,Leaves,Leaf,Leaves,,16,1,
17.1,Meal/Flour,Flour,Meal/Flour,,17,1,
18.1,Meat,Meat,Meat,,18,1,
18.1.1,Meat - Carcass,Meat,Meat,Carcass,18,1,1
18.1.2,Meat - Carcass Defeathered,Meat,Meat,Carcass Defeathered,18,1,2
18.1.3,Meat - Cold Carcass,Meat,Meat,Cold Carcass,18,1,3
18.1.4,Meat - Dressed,Meat,Meat,Dressed,18,1,4
18.1.5,Meat - Empty Carcass,Meat,Meat,Empty Carcass,18,1,5
18.1.6,Meat - Eviscerated,Meat,Meat,Eviscerated,18,1,6
18.1.7,Meat - Hot Carcass,Meat,Meat,Hot Carcass,18,1,7
18.1.8,Meat - Internal Fat,Meat,Meat,Internal Fat,18,1,8
18.1.9,Meat - Non-carcass,Meat,Meat,Non-carcass,18,1,9
18.1.10,Meat - Slaughter Body,Meat,Meat,Slaughter Body,18,1,10
18.1.11,Meat - Subcutaneous Fat,Meat,Meat,Subcutaneous Fat,18,1,11
19.1,Milk,Milk,Milk,,19,1,
20.1,Nuts,Nuts,Nuts,,20,1,
20.2,Nuts+Shells,Nuts,Nuts+Shells,,20,2,
21.1,Oil,Oil,Oil,,21,1,
22.1,Shells,Nuts,Shells,,22,1,
23.1,Stalks,Stalk,Stalks,,23,1,
23.2,Stalks+Leaves,Stalk,Stalks+Leaves,,23,2,
24.1,Sugar,Sugar,Sugar,,24,1,
25.1,Tuber/Root,Tuber/Root/Bulb,Tuber/Root,,25,1,
25.1.1,Tuber/Root (Marketable Yield),Tuber/Root/Bulb,Tuber/Root,Marketable Yield,25,1,1
25.1.2,Tuber/Root (Non-Marketable Yield),Tuber/Root/Bulb,Tuber/Root,Non-Marketable Yield,25,1,2
25.1.3,Tuber/Root (Total Yield),Tuber/Root/Bulb,Tuber/Root,Total Yield,25,1,3
25.1.4,Tuber/Root (Unspecified),Tuber/Root/Bulb,Tuber/Root,Unspecified,25,1,4
25.1.5,Tuber/Root (Tops),Tuber/Root/Bulb,Tuber/Root,Tops,25,1,5
26.1,Whole Plant,Biomass,Whole Plant,,26,1,
27.1.1,Wood - Firewood,Wood,Wood,Firewood,27,1,1
27.1.2,Wood - Timber,Wood,Wood,Timber,27,1,2
28.1,Wool,Wool,Wool,,28,1,
29.1,Mushroom,Mushroom,Mushroom,,29,1,
30.1,Pods,Pod,Pod,,30,1,
31.1,Offspring,Offspring,Offspring,,31,1,
