PrName,Out.SubInd,Product.Simple,Country,AEZ16simple,Observations,Studies
Inorganic Fertilizer-Solo,Crop Yield,Maize,Brazil,,548,41
pH Control-Solo,Crop Yield,Maize,Brazil,,120,10
Intercropping-Solo,Crop Yield,Maize,Brazil,,84,9
Inorganic Fertilizer-Solo,Crop Yield,Maize,Mexico,,49,8
Intercropping-Combo,Crop Yield,Maize,Brazil,,61,8
Inorganic Fertilizer-Solo,Crop Yield,Common Bean,Brazil,,129,7
Inorganic Fertilizer-Combo,Crop Yield,Maize,Brazil,,44,7
Reduced Tillage-Solo,Crop Yield,Maize,Mexico,,115,6
Mulch-Combo,Crop Yield,Maize,Brazil,,37,6
Mulch-Combo,Crop Yield,Maize,Mexico,,62,6
Crop Rotation-Combo,Crop Yield,Maize,Brazil,,41,6
Reduced Tillage-Combo,Crop Yield,Maize,Mexico,,79,5
Crop Residue-Combo,Crop Yield,Maize,Mexico,,73,5
Crop Rotation-Solo,Crop Yield,Maize,Brazil,,28,4
Reduced Tillage-Solo,Crop Yield,Maize,Brazil,,21,4
Multistrata Agroforestry-Solo,Crop Yield,Coffee,Brazil,,53,4
Intercropping-Solo,Crop Yield,Maize,Mexico,,23,4
Inorganic Fertilizer-Combo,Crop Yield,Maize,Mexico,,8,4
Improved Fallow-Solo,Crop Yield,Maize,Brazil,,58,3
Inorganic Fertilizer-Intercropping-Solo,Crop Yield,Maize,Brazil,,20,3
Organic Fertilizer-Solo,Crop Yield,Maize,Brazil,,62,3
Organic Fertilizer-Solo,Crop Yield,Maize,Mexico,,9,3
Inorganic Fertilizer-Solo,Crop Yield,Maize,Haiti,,62,3
Agroforestry Pruning-Solo,Crop Yield,Maize,Haiti,,6,3
Agroforestry Pruning-Inorganic Fertilizer-Solo,Crop Yield,Maize,Haiti,,9,3
Inorganic Fertilizer Reduction-Solo,Crop Yield,Maize,Haiti,,22,3
Agroforestry Pruning-Inorganic Fertilizer Reduction-Solo,Crop Yield,Maize,Haiti,,3,3
Mulch-Solo,Crop Yield,Maize,Mexico,,121,3
Inorganic Fertilizer-Combo,Crop Yield,Maize,Haiti,,12,3
Reduced Tillage-Combo,Crop Yield,Maize,Brazil,,15,3
Agroforestry Pruning-Combo,Crop Yield,Maize,Haiti,,12,3
pH Control-Combo,Crop Yield,Maize,Brazil,,8,3
Organic Fertilizer-Combo,Crop Yield,Maize,Mexico,,9,3
Inorganic Fertilizer Reduction-Combo,Crop Yield,Maize,Haiti,,3,3
Crop Rotation-Inorganic Fertilizer-Solo,Crop Yield,Maize,Brazil,,10,2
Reduced Tillage-Solo,Crop Yield,Common Bean,Brazil,,7,2
Improved Fallow-Intercropping-Solo,Crop Yield,Maize,Brazil,,18,2
