PrName,Observations,Studies
Inorganic Fertilizer-Solo,795,60
Intercropping-Solo,136,15
Inorganic Fertilizer-Combo,66,15
Reduced Tillage-Solo,149,13
Mulch-Combo,104,13
pH Control-Solo,192,11
Intercropping-Combo,71,11
Crop Rotation-Combo,88,11
Reduced Tillage-Combo,104,10
Organic Fertilizer-Solo,79,9
Crop Rotation-Solo,59,8
Crop Residue-Combo,84,7
Multistrata Agroforestry-Solo,59,5
Mulch-Solo,128,5
Agroforestry Pruning-Combo,19,5
Organic Fertilizer-Combo,14,5
Inorganic Fertilizer-Intercropping-Solo,22,4
Crop Rotation-Mulch-Reduced Tillage-Solo,17,4
Mulch-Reduced Tillage-Solo,14,4
Inorganic Fertilizer Reduction-Solo,27,4
pH Control-Combo,12,4
Crop Residue Incorporation-Combo,18,4
Supplemental Irrigation-Solo,46,3
Improved Fallow-Solo,58,3
Improved Fallow-Intercropping-Solo,25,3
Crop Residue Incorporation-Solo,17,3
Improved Varieties-Solo,261,3
Crop Rotation-Mulch-Solo,9,3
Inorganic Fertilizer-Organic Fertilizer-Solo,6,3
Agroforestry Pruning-Solo,6,3
Agroforestry Pruning-Inorganic Fertilizer-Solo,9,3
Agroforestry Pruning-Inorganic Fertilizer Reduction-Solo,3,3
Improved Fallow-Combo,25,3
Inorganic Fertilizer Reduction-Combo,3,3
Crop Rotation-Inorganic Fertilizer-Solo,10,2
Double Cropping-Solo,13,2
Other Agroforestry-Solo,15,2
Crop Residue Incorporation-Reduced Tillage-Solo,3,2
Crop Rotation-Intercropping-Solo,9,2
Biochar-Organic Fertilizer-Solo,4,2
Crop Rotation-Reduced Tillage-Solo,12,2
Crop Residue Incorporation-Crop Rotation-Solo,6,2
Crop Residue-Solo,49,2
Crop Residue-Reduced Tillage-Solo,37,2
Biochar-Combo,8,2
Harvest Method-Intercropping-Mulch-Solo,9,1
Crop Rotation-Intercropping-Reduced Tillage-Solo,1,1
Intercropping-Supplemental Irrigation-Solo,1,1
Agroforestry Pruning-Mulch-Solo,4,1
Agroforestry Pruning-Mulch-pH Control-Solo,2,1
Deficit Irrigation-Solo,24,1
Crop Rotation-Inorganic Fertilizer-Mulch-Solo,3,1
Crop Residue Incorporation-Crop Rotation-Mulch-Reduced Tillage-Solo,9,1
Mulch-pH Control-Solo,1,1
Crop Rotation-pH Control-Solo,4,1
Alleycropping-Crop Rotation-Solo,4,1
Crop Rotation-Inorganic Fertilizer-Intercropping-Solo,4,1
Inorganic Fertilizer-Mulch-Reduced Tillage-Solo,2,1
Parklands-Solo,2,1
Alleycropping-Solo,4,1
Inorganic Fertilizer-pH Control-Solo,5,1
Biochar-Solo,6,1
Agroforestry Pruning-Multistrata Agroforestry-Solo,1,1
Green Manure-Solo,10,1
Biochar-Mulch-Organic Fertilizer-Solo,3,1
Biochar-Inorganic Fertilizer-Mulch-Organic Fertilizer-Solo,1,1
Inorganic Fertilizer-Mulch-Solo,1,1
Crop Residue-Mulch-Solo,20,1
Crop Residue-Mulch-Reduced Tillage-Solo,9,1
Harvest Method-Combo,9,1
Supplemental Irrigation-Combo,1,1
Multistrata Agroforestry-Combo,1,1
Alleycropping-Combo,4,1
