Code,Country,Site.ID,PrName,PrName.Base,Diversity,Product.Simple,Out.SubInd,Units,MeanT,MeanC
NM0047,Brazil,Estiva,Inorganic Fertilizer,pH Control,Velvet Bean/Maize,Maize,Crop Yield,kg/ha,12840,8525
JO0016.1,Brazil,"Sete Lagoas County, Minas Gerais",Inorganic Fertilizer,Improved Varieties-pH Control,NA,Maize,Crop Yield,kg/ha,4584.25,4161
JO0214,Brazil,Botucatu,Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer,Brachiaria brizantha/Maize,Maize,Crop Yield,kg/ha,9556.68016194332,7236.84210526315
NM0046,Brazil,Santa Catarina State University (UDESC),Inorganic Fertilizer,pH Control,Common Bean/Wheat/Maize/Wheat,Common Bean,Crop Yield,kg/ha,3589.59537572254,1838.15028901734
AC0132,Brazil,"Experimental Agronomic Station, Federal University of Rio Grande do Sul (UFRGS)",Inorganic Fertilizer,Mulch-Reduced Tillage,Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch/Cowpea-Maize/Black oats-Common Vetch,Maize,Crop Yield,kg/ha,6987.99313893653,2161.23499142367
AC0132,Brazil,"Experimental Agronomic Station, Federal University of Rio Grande do Sul (UFRGS)",Inorganic Fertilizer,Mulch-Reduced Tillage,Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats,Maize,Crop Yield,kg/ha,8912.52144082332,2161.23499142367
AC0132,Brazil,"Experimental Agronomic Station, Federal University of Rio Grande do Sul (UFRGS)",Inorganic Fertilizer,Mulch-Reduced Tillage,Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch,Maize,Crop Yield,kg/ha,7090.90909090909,2161.23499142367
AC0132,Brazil,"Experimental Agronomic Station, Federal University of Rio Grande do Sul (UFRGS)",Inorganic Fertilizer,Mulch-Reduced Tillage,NA,Maize,Crop Yield,kg/ha,7008.57632933104,2161.23499142367
NM0045,Brazil,Southern Brazil,Inorganic Fertilizer,Crop Rotation-Inorganic Fertilizer,Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize/Black oats/Maize,Maize,Crop Yield,kg/ha,8980,2660
NM0045,Brazil,Southern Brazil,Inorganic Fertilizer,Crop Rotation-Inorganic Fertilizer-Intercropping,Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize,Maize,Crop Yield,kg/ha,9550,3660
