Code,Country,Site.ID,PrName,PrName.Base,Diversity,Product.Simple,Out.SubInd,Units,MeanT,MeanC
CJ0063,Brazil,Pedro Arle Experimental Field of Embrapa Tabuleiros Costeiros,Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,5963.65122160716,4403.13235668384
JO0061,Brazil,"Fazenda Morena, Barreiras (BA)",Inorganic Fertilizer,Inorganic Fertilizer-Organic Fertilizer-pH Control,NA,Coffee,Crop Yield,kg/ha,3589.42065491184,3340.05037783375
AC0158,Brazil,"Sao Desiderio, Bahia",Intercropping,Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,9671,9800
NM0048,Brazil,"Tamgara da Serra, MT",Inorganic Fertilizer,"",NA,Maize,Crop Yield,kg/ha,4492.90780141844,3255.31914893616
NM0047,Brazil,Estiva,Inorganic Fertilizer,pH Control,NA,Maize,Crop Yield,kg/ha,11235,8525
NM0047,Brazil,Estiva,Crop Rotation,pH Control,Velvet Bean/Maize,Maize,Crop Yield,kg/ha,12505,8525
NM0047,Brazil,Estiva,Crop Rotation,Inorganic Fertilizer-pH Control,Velvet Bean/Maize,Maize,Crop Yield,kg/ha,12840,11235
NM0047,Brazil,Estiva,Inorganic Fertilizer,Crop Rotation-pH Control,Velvet Bean/Maize,Maize,Crop Yield,kg/ha,12840,12505
NM0048,Brazil,"Padre Bernardo, GO",Inorganic Fertilizer,"",NA,Maize,Crop Yield,kg/ha,5298.30508474576,4461.01694915254
AC0088,Brazil,Embrapa Cerrados,Intercropping,Inorganic Fertilizer-Mulch-pH Control-Supplemental Irrigation,NA,Coffee,Crop Yield,kg/ha,3948,3588
AC0088,Brazil,Embrapa Cerrados,Supplemental Irrigation,Inorganic Fertilizer-Intercropping-Mulch-pH Control,NA,Coffee,Crop Yield,kg/ha,3948,1122
AC0088,Brazil,Embrapa Cerrados,Supplemental Irrigation,Inorganic Fertilizer-Mulch-pH Control,NA,Coffee,Crop Yield,kg/ha,3588,1590
AC0088,Brazil,Embrapa Cerrados,Intercropping,Inorganic Fertilizer-Mulch-pH Control,NA,Coffee,Crop Yield,kg/ha,1122,1590
AC0128,Brazil,"Embrapa Cerrados, Planaltina",Reduced Tillage,Crop Rotation-Inorganic Fertilizer-Supplemental Irrigation,Maize/Pearl Millet/Maize/Maize/Maize/Maize/Maize/Maize/Maize/Maize/Pearl Millet/Maize/Pearl Millet/Maize/Pearl Millet/Maize/Pearl Millet/Maize/Pearl Millet/Maize/Pearl Millet/Maize/Pearl Millet/Maize/Pearl Millet/Maize/Pearl Millet,Maize,Crop Yield,kg/ha,12283,11666.75
NM0062,Brazil,Santo Antônio de Goiás,Reduced Tillage,Crop Residue Incorporation-Crop Rotation-Inorganic Fertilizer,Congo Grass/Common Bean/Congo Grass/Common Bean/Congo Grass/Common Bean,Common Bean,Crop Yield,kg/ha,269.966666666667,570.666666666667
CJ0059,Brazil,Planalto de Minas at Diamantina-MG District,Intercropping,Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,1832.25,3194.17
CJ0059,Brazil,Planalto de Minas at Diamantina-MG District,Intercropping,Improved Varieties-Inorganic Fertilizer,NA,Common Bean,Crop Yield,kg/ha,473.925,780.83
AC0161,Brazil,"Experimental Area, University of Jatai",Inorganic Fertilizer,Crop Residue-Crop Rotation-Improved Varieties-Inorganic Fertilizer,Urochloa eminii/Maize,Maize,Crop Yield,kg/ha,7664.20666666667,6641.13
CJ0106,Brazil,"The Universidade Federal do Mato Grosso do Sul, Campus of Chapadão do Sul, MS,",Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,9480.8,9422.1
NM0043,Brazil,Uberlandia,Inorganic Fertilizer,Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,7115.16666666667,6196
CJ0018,Brazil,Embrapa Milho e Sorgo experimental station,Intercropping,Deficit Irrigation-Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,6476.69649515287,6835.57046979866
JO0016.1,Brazil,"Sete Lagoas County, Minas Gerais",Inorganic Fertilizer,Improved Varieties-Intercropping-pH Control,NA,Common Bean,Crop Yield,kg/ha,560.833333333333,495.666666666667
JO0016.1,Brazil,"Sete Lagoas County, Minas Gerais",Inorganic Fertilizer,Improved Varieties-pH Control,NA,Maize,Crop Yield,kg/ha,5203,4161
JO0016.1,Brazil,"Sete Lagoas County, Minas Gerais",Intercropping,Improved Varieties-pH Control,NA,Maize,Crop Yield,kg/ha,3217.66666666667,4161
