PrName,Out.SubInd,AEZ16simple,Observations,Studies
Inorganic Fertilizer-Solo,Crop Yield,,1344,77
Inorganic Fertilizer-Combo,Crop Yield,,342,26
Mulch-Combo,Crop Yield,,549,26
Inorganic Fertilizer-Solo,Biomass Yield,,328,22
Intercropping-Solo,Crop Yield,,203,20
Organic Fertilizer-Solo,Crop Yield,,145,17
Reduced Tillage-Solo,Crop Yield,,291,16
Reduced Tillage-Combo,Crop Yield,,420,16
pH Control-Solo,Crop Yield,,585,14
Intercropping-Combo,Crop Yield,,101,12
Crop Rotation-Combo,Crop Yield,,121,12
Crop Residue-Combo,Crop Yield,,178,12
Crop Rotation-Solo,Crop Yield,,201,11
Mulch-Reduced Tillage-Solo,Crop Yield,,194,10
Organic Fertilizer-Combo,Crop Yield,,65,10
Multistrata Agroforestry-Solo,Crop Yield,,191,9
Mulch-Solo,Crop Yield,,341,9
Crop Residue Incorporation-Combo,Crop Yield,,92,9
Agroforestry Pruning-Combo,Crop Yield,,60,8
Intercropping-Solo,Biomass Yield,,37,7
Inorganic Fertilizer-Combo,Biomass Yield,,136,7
pH Control-Combo,Crop Yield,,59,6
Supplemental Irrigation-Solo,Crop Yield,,136,5
Inorganic Fertilizer-Intercropping-Solo,Crop Yield,,40,5
Inorganic Fertilizer-Solo,Gross Return,,209,5
Multistrata Agroforestry-Solo,Soil Moisture,,265,5
Organic Fertilizer-Solo,Biomass Yield,,30,5
Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,,20,5
Intercropping-Combo,Cation Exchange Capacity,,20,5
Mulch-Combo,Biomass Yield,,72,5
Crop Rotation-Inorganic Fertilizer-Solo,Crop Yield,,16,4
Mulch-Solo,Soil Moisture,,93,4
Inorganic Fertilizer-Solo,Crop Residue Yield,,74,4
Inorganic Fertilizer-Solo,Nitrogen Agronomic Efficiency,,40,4
pH Control-Solo,Biomass Yield,,136,4
Improved Varieties-Solo,Crop Yield,,279,4
Inorganic Fertilizer-Solo,Net Return,,19,4
Agroforestry Pruning-Solo,Crop Yield,,18,4
Crop Residue Incorporation-Mulch-Solo,Crop Yield,,23,4
Organic Fertilizer-Combo,Biomass Yield,,27,4
Reduced Tillage-Combo,Cation Exchange Capacity,,8,4
Crop Rotation-Reduced Tillage-Solo,Crop Yield,,17,3
Reduced Tillage-Solo,Soil Organic Carbon,,50,3
Improved Fallow-Solo,Biomass Yield,,52,3
Improved Fallow-Solo,Crop Yield,,58,3
Mulch-Solo,Biomass Yield,,63,3
Inorganic Fertilizer-Solo,Total Cost,,43,3
Multistrata Agroforestry-Solo,Gross Margin,,3,3
Multistrata Agroforestry-Solo,Labour Cost,,3,3
Crop Residue Incorporation-Solo,Crop Yield,,28,3
Multistrata Agroforestry-Solo,Gross Return,,132,3
Multistrata Agroforestry-Solo,Total Cost,,124,3
Inorganic Fertilizer-Solo,Nitrous Oxide Emissions,,26,3
