PrName,Out.SubInd,Country,Observations,Studies
Inorganic Fertilizer-Solo,Crop Yield,Brazil,984,60
Inorganic Fertilizer-Solo,Biomass Yield,Brazil,328,22
Inorganic Fertilizer-Combo,Crop Yield,Brazil,120,15
Intercropping-Solo,Crop Yield,Brazil,120,14
pH Control-Solo,Crop Yield,Brazil,585,14
Mulch-Combo,Crop Yield,Brazil,109,14
Inorganic Fertilizer-Solo,Crop Yield,Mexico,297,13
Organic Fertilizer-Solo,Crop Yield,Brazil,108,11
Intercropping-Combo,Crop Yield,Brazil,87,11
Mulch-Combo,Crop Yield,Mexico,435,11
Reduced Tillage-Solo,Crop Yield,Brazil,166,8
Multistrata Agroforestry-Solo,Crop Yield,Brazil,185,8
Inorganic Fertilizer-Combo,Crop Yield,Mexico,213,8
Reduced Tillage-Combo,Crop Yield,Mexico,352,8
Crop Residue-Combo,Crop Yield,Brazil,92,8
Reduced Tillage-Solo,Crop Yield,Mexico,119,7
Mulch-Reduced Tillage-Solo,Crop Yield,Mexico,188,7
Inorganic Fertilizer-Combo,Biomass Yield,Brazil,136,7
Reduced Tillage-Combo,Crop Yield,Brazil,60,7
Crop Rotation-Combo,Crop Yield,Brazil,51,7
Crop Residue Incorporation-Combo,Crop Yield,Brazil,80,7
Intercropping-Solo,Biomass Yield,Brazil,35,6
Crop Rotation-Solo,Crop Yield,Brazil,125,6
Organic Fertilizer-Combo,Crop Yield,Brazil,40,6
pH Control-Combo,Crop Yield,Brazil,59,6
Organic Fertilizer-Solo,Biomass Yield,Brazil,30,5
Mulch-Solo,Crop Yield,Mexico,321,5
Supplemental Irrigation-Solo,Crop Yield,Brazil,132,4
Inorganic Fertilizer-Intercropping-Solo,Crop Yield,Brazil,26,4
Inorganic Fertilizer-Solo,Gross Return,Brazil,207,4
Inorganic Fertilizer-Solo,Crop Residue Yield,Brazil,74,4
pH Control-Solo,Biomass Yield,Brazil,136,4
Improved Varieties-Solo,Crop Yield,Brazil,279,4
Crop Residue Incorporation-Mulch-Solo,Crop Yield,Brazil,23,4
Intercropping-Solo,Crop Yield,Mexico,60,4
Organic Fertilizer-Solo,Crop Yield,Mexico,28,4
Crop Rotation-Solo,Crop Yield,Mexico,75,4
Organic Fertilizer-Combo,Biomass Yield,Brazil,27,4
Organic Fertilizer-Combo,Crop Yield,Mexico,25,4
Intercropping-Combo,Cation Exchange Capacity,Mexico,8,4
Mulch-Combo,Biomass Yield,Mexico,71,4
Reduced Tillage-Combo,Cation Exchange Capacity,Mexico,8,4
Crop Rotation-Combo,Crop Yield,Mexico,63,4
Crop Residue-Combo,Crop Yield,Mexico,86,4
Improved Fallow-Solo,Biomass Yield,Brazil,52,3
Improved Fallow-Solo,Crop Yield,Brazil,58,3
Mulch-Solo,Crop Yield,Brazil,15,3
Multistrata Agroforestry-Solo,Gross Margin,Brazil,3,3
Multistrata Agroforestry-Solo,Labour Cost,Brazil,3,3
Multistrata Agroforestry-Solo,Soil Moisture,Brazil,6,3
Inorganic Fertilizer-Solo,Nitrous Oxide Emissions,Brazil,26,3
Crop Residue Incorporation-Inorganic Fertilizer-Solo,Crop Yield,Brazil,15,3
Inorganic Fertilizer-Organic Fertilizer-Solo,Crop Yield,Mexico,10,3
Inorganic Fertilizer-Solo,Crop Yield,Haiti,62,3
Agroforestry Pruning-Solo,Crop Yield,Haiti,6,3
Agroforestry Pruning-Inorganic Fertilizer-Solo,Crop Yield,Haiti,9,3
Inorganic Fertilizer-Solo,Gross Margin,Haiti,62,3
Agroforestry Pruning-Solo,Gross Margin,Haiti,6,3
Agroforestry Pruning-Inorganic Fertilizer-Solo,Gross Margin,Haiti,9,3
Inorganic Fertilizer-Mulch-Solo,Crop Yield,Mexico,103,3
Mulch-Reduced Tillage-Solo,Soil Moisture,Mexico,48,3
Mulch-Reduced Tillage-Solo,Biomass Yield,Mexico,51,3
Inorganic Fertilizer-Combo,Crop Yield,Haiti,9,3
Inorganic Fertilizer-Combo,Gross Margin,Haiti,9,3
Intercropping-Combo,Biomass Yield,Brazil,28,3
Mulch-Combo,Soil Moisture,Mexico,68,3
Reduced Tillage-Combo,Soil Moisture,Mexico,54,3
Reduced Tillage-Combo,Biomass Yield,Mexico,51,3
Agroforestry Pruning-Combo,Crop Yield,Brazil,48,3
Agroforestry Pruning-Combo,Crop Yield,Haiti,9,3
Agroforestry Pruning-Combo,Gross Margin,Haiti,9,3
Intercropping-Solo,Soil Total Nitrogen,Brazil,10,2
Crop Rotation-Inorganic Fertilizer-Solo,Crop Yield,Brazil,10,2
Crop Residue Incorporation-Mulch-Reduced Tillage-Solo,Crop Yield,Brazil,28,2
Reduced Tillage-Solo,Soil Organic Carbon,Brazil,38,2
Improved Fallow-Intercropping-Solo,Biomass Yield,Brazil,20,2
Improved Fallow-Intercropping-Solo,Crop Yield,Brazil,18,2
Improved Fallow-Solo,Soil Nitrogen,Brazil,24,2
Improved Fallow-Intercropping-Solo,Soil Nitrogen,Brazil,22,2
Mulch-Solo,Soil Moisture,Brazil,39,2
Mulch-Solo,Biomass Yield,Brazil,15,2
Inorganic Fertilizer-Solo,Total Cost,Brazil,41,2
Inorganic Fertilizer-pH Control-Solo,Crop Yield,Brazil,42,2
Inorganic Fertilizer-Solo,Variable Cost,Brazil,38,2
Other Agroforestry-Solo,Crop Yield,Brazil,15,2
Deficit Irrigation-Solo,Biomass Yield,Brazil,42,2
Deficit Irrigation-Solo,Water Use Efficiency,Brazil,40,2
Multistrata Agroforestry-Solo,Gross Return,Brazil,128,2
Multistrata Agroforestry-Solo,Total Cost,Brazil,120,2
Multistrata Agroforestry-Solo,Variable Cost,Brazil,66,2
pH Control-Solo,Crop Residue Yield,Brazil,7,2
Inorganic Fertilizer-Solo,Nitrogen Agronomic Efficiency,Brazil,24,2
Inorganic Fertilizer-Organic Fertilizer-Solo,Biomass Yield,Brazil,10,2
pH Control-Solo,Gross Return,Brazil,29,2
Intercropping-Solo,Gross Return,Brazil,16,2
Inorganic Fertilizer-Solo,Net Return,Brazil,15,2
Organic Fertilizer-Solo,Cation Exchange Capacity,Brazil,16,2
