PrName,Out.SubInd,Product.Simple,Country,AEZ16simple,Observations,Studies
Inorganic Fertilizer-Solo,Crop Yield,Maize,Brazil,,538,41
Inorganic Fertilizer-Solo,Biomass Yield,Maize,Brazil,,70,12
Mulch-Combo,Crop Yield,Maize,Brazil,,84,11
Intercropping-Solo,Crop Yield,Maize,Brazil,,88,10
pH Control-Solo,Crop Yield,Maize,Brazil,,120,10
Inorganic Fertilizer-Combo,Crop Yield,Maize,Brazil,,58,10
Inorganic Fertilizer-Solo,Crop Yield,Maize,Mexico,,57,9
Intercropping-Combo,Crop Yield,Maize,Brazil,,80,9
pH Control-Solo,Crop Yield,Soybean,Brazil,,294,8
Mulch-Combo,Crop Yield,Maize,Mexico,,156,8
Inorganic Fertilizer-Solo,Crop Yield,Common Bean,Brazil,,131,7
Inorganic Fertilizer-Solo,Crop Yield,Wheat,Brazil,,197,6
Reduced Tillage-Solo,Crop Yield,Maize,Mexico,,97,6
Crop Residue-Combo,Crop Yield,Maize,Brazil,,71,6
Inorganic Fertilizer-Solo,Crop Yield,Soybean,Brazil,,56,5
Multistrata Agroforestry-Solo,Crop Yield,Coffee,Brazil,,55,5
Inorganic Fertilizer-Solo,Crop Yield,Wheat,Mexico,,102,5
Inorganic Fertilizer-Combo,Crop Yield,Maize,Mexico,,38,5
Reduced Tillage-Combo,Crop Yield,Maize,Mexico,,142,5
Crop Rotation-Combo,Crop Yield,Maize,Brazil,,40,5
Crop Residue Incorporation-Combo,Crop Yield,Maize,Brazil,,59,5
Crop Rotation-Solo,Crop Yield,Maize,Brazil,,28,4
pH Control-Solo,Crop Yield,Wheat,Brazil,,56,4
Inorganic Fertilizer-Solo,Biomass Yield,Black oats,Brazil,,136,4
Crop Residue Incorporation-Mulch-Solo,Crop Yield,Maize,Brazil,,23,4
Intercropping-Solo,Crop Yield,Maize,Mexico,,23,4
Mulch-Solo,Crop Yield,Maize,Mexico,,219,4
Mulch-Reduced Tillage-Solo,Crop Yield,Maize,Mexico,,74,4
Crop Rotation-Solo,Crop Yield,Wheat,Mexico,,39,4
Reduced Tillage-Combo,Crop Yield,Maize,Brazil,,35,4
Crop Residue-Combo,Crop Yield,Maize,Mexico,,72,4
