PrName,Out.SubInd,Product.Simple,Observations,Studies
Inorganic Fertilizer-Solo,Crop Yield,Maize,658,54
Mulch-Combo,Crop Yield,Maize,240,19
Inorganic Fertilizer-Combo,Crop Yield,Maize,105,18
Intercropping-Solo,Crop Yield,Maize,126,16
Inorganic Fertilizer-Solo,Biomass Yield,Maize,70,12
Inorganic Fertilizer-Solo,Crop Yield,Wheat,299,11
pH Control-Solo,Crop Yield,Maize,120,10
Intercropping-Combo,Crop Yield,Maize,82,10
Crop Residue-Combo,Crop Yield,Maize,143,10
Reduced Tillage-Combo,Crop Yield,Maize,177,9
Reduced Tillage-Solo,Crop Yield,Maize,114,8
Inorganic Fertilizer-Solo,Crop Yield,Common Bean,133,8
pH Control-Solo,Crop Yield,Soybean,294,8
Organic Fertilizer-Solo,Crop Yield,Maize,74,7
Crop Rotation-Combo,Crop Yield,Maize,72,7
Crop Residue Incorporation-Combo,Crop Yield,Maize,66,7
Crop Rotation-Solo,Crop Yield,Maize,54,6
Multistrata Agroforestry-Solo,Crop Yield,Coffee,61,6
Inorganic Fertilizer-Solo,Crop Yield,Soybean,56,5
Multistrata Agroforestry-Solo,Soil Moisture,Coffee-Natural Fallow,265,5
Mulch-Solo,Crop Yield,Maize,221,5
Crop Rotation-Solo,Crop Yield,Wheat,47,5
Mulch-Reduced Tillage-Solo,Crop Yield,Maize,76,5
Intercropping-Solo,Biomass Yield,Maize,17,4
Inorganic Fertilizer-Intercropping-Solo,Crop Yield,Maize,22,4
pH Control-Solo,Crop Yield,Wheat,56,4
Reduced Tillage-Solo,Crop Yield,Wheat,56,4
Inorganic Fertilizer-Solo,Biomass Yield,Black oats,136,4
Crop Residue Incorporation-Mulch-Solo,Crop Yield,Maize,23,4
Inorganic Fertilizer-Combo,Crop Yield,Wheat,52,4
Agroforestry Pruning-Combo,Crop Yield,Maize,15,4
Reduced Tillage-Solo,Crop Yield,Soybean,85,3
Reduced Tillage-Solo,Crop Yield,Common Bean,13,3
Intercropping-Solo,Crop Yield,Common Bean,19,3
Improved Fallow-Solo,Biomass Yield,Maize,52,3
Improved Fallow-Solo,Crop Yield,Maize,58,3
Multistrata Agroforestry-Solo,Crop Yield,Arabica,80,3
Multistrata Agroforestry-Solo,Gross Margin,Coffee-Natural Fallow,3,3
Multistrata Agroforestry-Solo,Labour Cost,Coffee-Natural Fallow,3,3
Inorganic Fertilizer-Solo,Crop Residue Yield,Maize,70,3
Inorganic Fertilizer-Solo,Nitrous Oxide Emissions,Maize,26,3
pH Control-Solo,Biomass Yield,Maize,8,3
Inorganic Fertilizer-Solo,Biomass Yield,Sorghum,45,3
Mulch-Reduced Tillage-Solo,Crop Yield,Wheat,20,3
Crop Residue Incorporation-Inorganic Fertilizer-Solo,Crop Yield,Maize,15,3
Agroforestry Pruning-Solo,Crop Yield,Maize,6,3
Agroforestry Pruning-Inorganic Fertilizer-Solo,Crop Yield,Maize,9,3
Inorganic Fertilizer-Solo,Gross Margin,Maize,62,3
Agroforestry Pruning-Solo,Gross Margin,Maize,6,3
Agroforestry Pruning-Inorganic Fertilizer-Solo,Gross Margin,Maize,9,3
Organic Fertilizer-Combo,Crop Yield,Maize,9,3
Inorganic Fertilizer-Combo,Biomass Yield,Maize,21,3
Inorganic Fertilizer-Combo,Gross Margin,Maize,9,3
Mulch-Combo,Crop Yield,Wheat,33,3
Reduced Tillage-Combo,Crop Yield,Common Bean,11,3
Reduced Tillage-Combo,Crop Yield,Wheat,34,3
Crop Rotation-Combo,Crop Yield,Common Bean,15,3
Crop Rotation-Combo,Crop Yield,Wheat,31,3
Agroforestry Pruning-Combo,Gross Margin,Maize,9,3
pH Control-Combo,Crop Yield,Maize,8,3
Crop Rotation-Inorganic Fertilizer-Solo,Crop Yield,Maize,10,2
Improved Fallow-Intercropping-Solo,Biomass Yield,Maize,20,2
Improved Fallow-Intercropping-Solo,Crop Yield,Maize,18,2
Improved Fallow-Solo,Soil Nitrogen,Maize,24,2
Improved Fallow-Intercropping-Solo,Soil Nitrogen,Maize,22,2
Intercropping-Solo,Biomass Yield,Sorghum,10,2
Inorganic Fertilizer-Solo,Variable Cost,Maize,38,2
Inorganic Fertilizer-Solo,Gross Return,Maize,134,2
Multistrata Agroforestry-Solo,Labour Person Hours,Coffee-Natural Fallow,13,2
Other Agroforestry-Solo,Crop Yield,Coffee,15,2
Supplemental Irrigation-Solo,Crop Yield,Arabica,80,2
Multistrata Agroforestry-Solo,Gross Return,Coffee,52,2
Multistrata Agroforestry-Solo,Crop Yield,Macadamia,50,2
pH Control-Solo,Crop Residue Yield,Soybean,4,2
pH Control-Solo,Crop Residue Yield,Maize,3,2
Inorganic Fertilizer-Solo,Nitrogen Agronomic Efficiency,Maize,17,2
pH Control-Solo,Crop Yield,Oats,9,2
Intercropping-Solo,Crop Yield,Soybean,18,2
Inorganic Fertilizer-Solo,Crop Yield,Sorghum,21,2
Crop Rotation-Mulch-Solo,Crop Yield,Maize,8,2
Organic Fertilizer-Solo,Crop Yield,Wheat,11,2
Inorganic Fertilizer-Solo,Soil Carbon Stocks,Maize,3,2
Organic Fertilizer-Solo,Soil Carbon Stocks,Maize,4,2
Multistrata Agroforestry-Solo,Aboveground Carbon Biomass,Coffee,2,2
