Product.Simple,Observations,Studies
Maize,5140,112
Wheat,4723,20
Common Bean,714,19
Coffee,327,17
Soybean,2688,16
Coffee-Natural Fallow,951,11
Arabica,195,6
Sorghum,466,5
Oats,301,5
Black oats,508,5
Cowpea,91,4
Common Bean-Maize,17,4
Macadamia,162,3
Arabica-Macadamia,1568,3
Barley,79,3
Natural Fallow,594,3
Cotton,75,2
Yacon,54,2
Palisade Grass,46,2
Coffee-Macadamia,151,2
Hairy Vetch,8,2
Capsicum,6,1
Maize-Natural Fallow,48,1
Maize-Soybean,299,1
Coffee-Urochloa decumbens,6,1
Cabbage,7,1
Maize-Velvet Bean,2,1
Guinea Grass,4,1
Sugar Cane,8,1
Chamomile,34,1
Congo Grass-Cotton-Pearl Millet,180,1
Congo Grass,12,1
Guinea Grass-Soybean,1,1
Congo Grass-Soybean,1,1
Groundnut,24,1
Congo Grass-Maize-Soybean,18,1
Pearl Millet,4,1
Pigeon Pea,2,1
Palisade Grass-Sorghum,4,1
Guinea Grass-Sorghum,4,1
Coffee-Rubber,24,1
Radish,6,1
Blue Lupin,6,1
Melon,14,1
Grape,50,1
Napier Grass,15,1
Passionfruit,18,1
Cowpea-Maize,23,1
Sweet Potato,10,1
Sunflower,48,1
Opuntia stricta,15,1
Cassava,8,1
Horsegram-Maize,8,1
Hibiscus,72,1
Hibiscus-Maize,20,1
Common Bean-Hibiscus,20,1
Common Bean-Hibiscus-Maize,17,1
Maize-Pumpkin,8,1
Ayocote bean-Maize,2,1
Maize-Sunn Hemp,2,1
Lablab-Maize,2,1
Common Bean-Maize-Natural Fallow,4,1
Fava Bean,5,1
Squash (C.Moschata),5,1
Maize-Wheat,2,1
Maize-Oats,165,1
Durum Wheat,1385,1
Safflower,18,1
