"","Code","Site.Key","Country","Plant.Start","Plant.End"
"1","JO0084","-11.3769 -37.6739 B1000","Brazil",NA,NA
"2","JO0061","-11.7666 -45.7243 B500","Brazil",NA,NA
"3","NM0015","-12.0933 -45.7106 B1000","Brazil",2012-10-01,2012-12-31
"4","NM0047","-14.8683 -40.7486 B500","Brazil",2016-02-01,2016-03-31
"5","AC0088","-15.5844 -47.7308 B1500","Brazil",NA,NA
"6","AC0128","-15.6009 -47.7143 B1000","Brazil",NA,NA
"7","NM0062","-16.4833 -49.2833 B500","Brazil",2004-11-10,2004-11-20
"8","NM0062","-16.4833 -49.2833 B500","Brazil",2005-11-10,2005-11-20
"9","NM0062","-16.4833 -49.2833 B500","Brazil",2006-11-10,2006-11-20
"10","JO0018","-16.6031 -49.2797 B5000","Brazil",2011-11-01,2011-11-30
"11","CJ0059","-17.6424 -43.3317 B26000","Brazil",2010-05-01,2011-04-28
"12","AC0161","-17.6600 -51.3300 B15000","Brazil",2019-01-17,2019-01-17
"13","AC0029","-17.7833 -51.9167 B15000","Brazil",2003-10-10,2003-10-10
"14","AC0029","-17.7833 -51.9167 B15000","Brazil",2004-11-02,2004-11-02
"15","AC0029","-17.7833 -51.9167 B15000","Brazil",2004-11-01,2004-11-01
"16","NM0043","-19.4167 -47.9833 B54000","Brazil",2009-10-20,2009-10-30
"17","CJ0018","-19.4556 -44.1725 B100","Brazil",2019-03-07,2019-03-07
"18","JO0016.1","-19.4647 -44.2289 B5000","Brazil",1996-11-03,1996-11-30
"19","JO0016.2","-19.4647 -44.2289 B5000","Brazil",1996-11-03,1996-11-30
"20","JO0111","-19.4667 -44.2522 B20000","Brazil",NA,NA
"21","JO0111","-2.6833 -60.8419 B25000","Brazil",NA,NA
"22","SP0018","-20.3431 -51.4011 B100","Brazil",2017-11-01,2017-11-30
"23","SP0018","-20.3431 -51.4011 B100","Brazil",2018-11-01,2018-11-30
"24","CJ0085","-20.3960 -51.3573 B1800","Brazil",2019-05-15,2019-05-15
"25","CJ0085","-20.3960 -51.3573 B1800","Brazil",2020-05-16,2020-05-16
"26","AC0039","-20.6069 -42.1457 B10000","Brazil",NA,NA
"27","AC0039","-20.6577 -42.5007 B15000","Brazil",NA,NA
"28","JO0020","-20.7591 -42.9058 B5000","Brazil",NA,NA
"29","NN0450","-20.7688 -42.8700 B250","Brazil",2003-06-06,2003-06-06
"30","NN0450","-20.7688 -42.8700 B250","Brazil",2004-06-01,2004-06-01
"31","AC0023","-22.3500 -48.3667 B1000","Brazil",NA,NA
"32","AC0037","-22.3500 -48.3667 B1000","Brazil",NA,NA
"33","JO0021","-22.3577 -48.3640 B2500","Brazil",NA,NA
"34","CJ0091","-22.6919 -47.6333 B200","Brazil",2012-12-12,2012-12-12
"35","JO0111","-22.7439 -43.7078 B30000","Brazil",NA,NA
"36","NM0035","-22.7500 -43.6667 B100","Brazil",2015-02-02,2015-02-02
"37","SP0024","-22.8399 -48.4420 B600","Brazil",NA,NA
"38","JO0216","-22.8500 -48.3833 B25000","Brazil",2004-01-01,2004-01-01
"39","SP0039","-22.8500 -48.3833 B400","Brazil",NA,NA
"40","JO0092","-22.8500 -48.3833 B500","Brazil",2009-08-12,2009-08-12
"41","JO0092","-22.8500 -48.3833 B500","Brazil",2010-02-09,2010-02-09
"42","AC0111","-22.8500 -48.4333 B4000","Brazil",2015-10-22,2015-10-22
"43","CJ0097","-22.8500 -48.4333 B4000","Brazil",NA,NA
"44","JO0214","-22.8500 -48.4333 B4000","Brazil",2008-12-17,2008-12-17
"45","NN0425","-22.8500 -48.4333 B4500","Brazil",NA,NA
"46","JO0051","-23.0500 -49.2333 B38000","Brazil",NA,NA
"47","CJ0080","-23.1947 -51.1835 B1000","Brazil",2000-10-31,2000-12-19
"48","CJ0080","-23.1947 -51.1835 B1000","Brazil",2004-10-30,2004-12-18
"49","CJ0080","-23.1947 -51.1835 B1000","Brazil",2006-10-30,2006-12-18
"50","CJ0080","-23.1947 -51.1835 B1000","Brazil",2001-10-31,2001-12-19
"51","CJ0080","-23.1947 -51.1835 B1000","Brazil",2002-10-31,2002-12-19
"52","CJ0080","-23.1947 -51.1835 B1000","Brazil",2005-10-30,2005-12-18
