base_practice,model_type,est,se,ci.lb,ci.ub,pval,tau2_L2,tau2_L3,k,studies,practice,crop,est_pct,ci.lb_pct,ci.ub_pct
Inorganic Fertilizer,rma.mv,0.410508394814235,0.0479245181792677,0.316407311038202,0.504609478590269,7.42019648075873e-17,0.0698067309155009,0.0751151202759475,668,42,Inorganic Fertilizer,Maize,50.7584038223853,37.2189049563236,65.6338558473972
Intercropping,rma.mv,-0.0990082507043013,0.0632512233195777,-0.224630639869735,0.0266141384611322,0.120941828299288,0.00450715774631694,0.0362704173325004,93,13,Intercropping,Maize,-9.42647649608798,-20.1188786709788,2.69714575142432
Crop Rotation,rma.mv,0.185318669447114,0.0614701995524614,0.0618521400133657,0.308785198880863,0.00403268586059723,4.00365861354512e-06,0.014535849561927,51,7,Crop Rotation,Maize,20.3601930182805,6.38050388998683,36.1769829402106
Reduced Tillage,rma.mv,-0.136989560833905,0.127078469501256,-0.388345851017108,0.114366729349297,0.28298864728942,1.83012467256328e-06,0.134656574581147,134,10,Reduced Tillage,Maize,-12.8020671178358,-32.1822245766067,12.1163212956059
Inorganic Fertilizer-Intercropping,rma.mv,0.431371483304308,0.259659710456879,-0.108620445479799,0.971363412088414,0.111511830913104,0.0407724853331125,0.241551634381989,22,4,Inorganic Fertilizer-Intercropping,Maize,53.936729300234,-10.2929159818004,164.154351766088
pH Control,rma.mv,0.345268459816647,0.0781857874717034,0.190479071037222,0.500057848596072,2.20124852391874e-05,0.196165010789102,0.0109076427285738,122,10,pH Control,Maize,41.2369033108686,20.9829052905293,64.8816649669695
Organic Fertilizer,rma.mv,0.355474647713183,0.120252715441633,0.116117604981641,0.594831690444726,0.00410647677696254,0.0409569924118204,0.084601939667732,80,7,Organic Fertilizer,Maize,42.6857748345484,12.3127949808524,81.2725820206538
Crop Rotation-Mulch,rma.mv,0.761696526496538,0.351949528673994,-0.0705318643426386,1.59392491733571,0.0671878940351445,4.2226150425503e-08,0.315591303390395,8,3,Crop Rotation-Mulch,Maize,114.190694169834,-6.81019552659014,392.303355803753
Crop Rotation-Mulch-Reduced Tillage,rma.mv,0.240457888562042,0.0912596505048262,0.0447254050152597,0.436190372108825,0.0195991554138456,0.0295826160858739,6.08890852821793e-06,15,5,Crop Rotation-Mulch-Reduced Tillage,Maize,27.1831374053464,4.57406653373864,54.6803234915658
Mulch,rma.mv,0.253413162308811,0.134565575051947,-0.0129728337125056,0.519799158330128,0.0620550739122123,5.04363253634498e-07,0.0757782821152659,123,6,Mulch,Maize,28.8415491600736,-1.28890492040784,68.168986237897
Improved Fallow,rma.mv,0.0975183859663139,0.0373290538144572,0.023368806273213,0.171667965659415,0.0105179660477033,0.0323815508249203,0.00200687903204692,92,3,Improved Fallow,Maize,10.2431710649288,2.36439962660959,18.7283548849324
Mulch-Reduced Tillage,rma.mv,0.168479427839224,0.0962643957621379,-0.0433970786784297,0.380355934356878,0.107891537463913,1.42718608036912e-07,2.34298246926895e-07,12,4,Mulch-Reduced Tillage,Maize,18.3503879362334,-4.24689006141326,46.2805159398009
Crop Residue Incorporation-Crop Rotation,rma.mv,0.478405229750457,0.27760868429463,-0.235210611512215,1.19202107101313,0.145440588477693,0.0420410282322381,0.150567494352872,6,3,Crop Residue Incorporation-Crop Rotation,Maize,61.3499188797875,-20.9595636160891,229.37313498706
Crop Rotation-Reduced Tillage,rma.mv,-0.00104485640720283,0.113798698137471,-0.270136017822753,0.268046305008347,0.99293042308045,6.23702020673161e-09,9.00144623109185e-07,8,3,Crop Rotation-Reduced Tillage,Maize,-0.104431073481326,-23.6724331818637,30.7407678136765
Crop Residue Incorporation,rma.mv,-0.0646359066690614,0.0961533030926009,-0.278878817036498,0.149607003698375,0.516675354455631,1.54642408888767e-08,7.21305713600301e-07,11,4,Crop Residue Incorporation,Maize,-6.25912944903186,-24.3368411482237,16.1377735876417
Crop Residue-Reduced Tillage,rma.mv,0.179354997933628,0.134038729995775,-0.0922332665378043,0.45094326240506,0.189035177743909,2.21247497313279e-06,0.0332427558153686,38,3,Crop Residue-Reduced Tillage,Maize,19.6445404432938,-8.81075892518715,56.9792213331713
