variable,family,k,AIC,R2,p,composite_score,interpretation
gdd_Harvest.Start,GDD,649,735.872877026996,0.121060486009678,1.69516000105595e-23,0.965890850722311,Weak predictor
rain_Harvest.Start,Rainfall,649,735.872877026996,0.121060486009678,1.69516000105595e-23,0.965890850722311,Weak predictor
temp_Harvest.Start,Temperature,649,735.872877026996,0.121060486009678,1.69516000105595e-23,0.965890850722311,Weak predictor
eratio_Harvest.Start,ETo / Evaporative,649,735.872877026996,0.121060486009678,1.69516000105595e-23,0.965890850722311,Weak predictor
gdd_Harvest.End,GDD,649,736.076653085848,0.120687368498082,1.90124275846956e-23,0.920411985018727,Weak predictor
rain_Harvest.End,Rainfall,649,736.076653085848,0.120687368498082,1.90124275846956e-23,0.920411985018727,Weak predictor
temp_Harvest.End,Temperature,649,736.076653085848,0.120687368498082,1.90124275846956e-23,0.920411985018727,Weak predictor
eratio_Harvest.End,ETo / Evaporative,649,736.076653085848,0.120687368498082,1.90124275846956e-23,0.920411985018727,Weak predictor
rain_rain_l_5.n_seq_d5,Rainfall,1839,2143.98997302214,0.0762843050753759,9.03141161259692e-15,0.90904226859283,Weak predictor
rain_rain_l_0.1.days_pr,Rainfall,1839,2151.64333070627,0.0536677878204197,8.38711502183439e-13,0.897672552166934,Weak predictor
temp_tmean_max,Temperature,1839,2155.34752695578,0.0397829992510788,8.85704233531529e-12,0.872819689673622,Negligible
rain_rain_l_0.1.days,Rainfall,1839,2158.43936582792,0.0482120598593532,3.1846741829308e-11,0.87255216693419,Negligible
temp_tmean_var,Temperature,1839,2164.69069269567,0.0409744733112599,9.12262394756928e-10,0.861182450508293,Negligible
temp_tmin_var,Temperature,1839,2168.43944917609,0.0399673835870473,6.41218628361322e-09,0.849812734082397,Negligible
gdd_gdd_subopt,GDD,1839,2156.78752327951,0.0285907963198421,2.24284473402182e-11,0.834483681112895,Negligible
rain_rain_l_0.1.n_seq_d5,Rainfall,1839,2170.31933481956,0.0389711647526614,1.6822241071668e-08,0.827073301230605,Negligible
eratio_eratio_l_0.1.max_seq,ETo / Evaporative,1839,2170.15864176329,0.0347843973262242,1.5752848933194e-08,0.824959871589085,Negligible
temp_tmean_range,Temperature,1839,2170.66732779315,0.0370647988812297,2.10159052184637e-08,0.815703584804708,Negligible
temp_tmean_sd,Temperature,1839,2172.28526043503,0.0331994591340624,5.23837920631436e-08,0.786088817549492,Negligible
temp_tmax_mean,Temperature,1839,2170.89444522687,0.0241836326329556,3.17024577718338e-08,0.768378812199037,Negligible
gdd_gdd_aboveopt,GDD,1839,2171.32684529732,0.0249808236443209,3.2637944783845e-08,0.765997859818085,Negligible
eratio_eratio_l_0.25.max_seq,ETo / Evaporative,1839,2176.54991827261,0.0287779350998496,4.80647496598879e-07,0.763349384697699,Negligible
temp_tmin_sd,Temperature,1839,2177.34725996704,0.0304764723372253,7.4589155819308e-07,0.754093097913323,Negligible
temp_tmean_mean,Temperature,1839,2173.3266841467,0.0215158906553201,1.19744957945885e-07,0.729775280898877,Negligible
rain_rain_l_1.n_seq_d10,Rainfall,1839,2178.31787090049,0.0269234507729115,1.28124953090506e-06,0.726859283039058,Negligible
temp_tmax_max,Temperature,1839,2176.90783770619,0.0207253324053683,7.11535222567492e-07,0.711530230069556,Negligible
rain_rain_l_1.days_pr,Rainfall,1839,2178.15568419635,0.0232310247612525,1.22855879007313e-06,0.711262707330123,Negligible
rain_rain_l_0.1.n_seq_d10,Rainfall,1839,2181.64732421861,0.0253061544750153,7.01663549595611e-06,0.708614232209738,Negligible
eratio_eratio_l_0.1.n_seq_d15,ETo / Evaporative,1839,2179.91965198813,0.0215922738835509,3.43880207518296e-06,0.693017656500803,Negligible
temp_tmin_range,Temperature,1839,2184.05319970896,0.023793235866677,2.67320737269113e-05,0.688255751738898,Negligible
rain_rain_l_1.days,Rainfall,1839,2185.91924082324,0.0153170929907861,8.04567945786898e-05,0.645425361155698,Negligible
eratio_eratio_l_0.25.n_seq_d15,ETo / Evaporative,1839,2186.54892988991,0.0156253632569749,0.000119249668078986,0.643044408774746,Negligible
rain_rain_l_0.1.max_seq,Rainfall,1839,2188.53568853341,0.0189607612563822,0.000302344430105889,0.633788121990369,Negligible
temp_tmax_range,Temperature,1839,2188.56249996941,0.019686914216452,0.000319154273473656,0.631407169609417,Negligible
gdd_gdd_abovemax,GDD,1839,2188.97620335282,0.0111950292868187,0.000346966757496625,0.602059925093633,Negligible
eratio_eratio_l_0.25.days_pr,ETo / Evaporative,1839,2189.61809445577,0.0142735461704276,0.000600413438434841,0.599678972712681,Negligible
temp_tmin_mean,Temperature,1839,2187.65894681715,0.00683023705823505,0.000239878944751896,0.582236490101659,Negligible
eratio_eratio_l_0.5.max_seq,ETo / Evaporative,1839,2191.29455218229,0.0109173125315878,0.00140594270560742,0.567950775815944,Negligible
