base_practice,n_obs,n_studies,n_countries,n_crops,climate_coverage,median_reps,year_range,data_quality
Inorganic Fertilizer,756,48,3,3,78.3,4,1985.1..1985.2..1986.1..1986.2..1987.1..1987.2..1988.1..1988.2..1989.1..1989.2..1990.1..1990.2..1991.1..1991.2..1992.1..1992.2..1993.1..1993.2..1994.1..1994.2..1995.1..1995.2..1996.1..1996.2..1997.1..1997.2..1998.1..1998.2..1999.1..1999.2..2000.1..2000.2..2001.1..2001.2..2002.1..2002.2..2003.1..2003.2..2004.1..2004.2..2005.1..2005.2 - unspecified,Moderate
Reduced Tillage,247,20,3,2,51,2,1985.1..1985.2..1986.1..1986.2..1987.1..1987.2..1988.1..1988.2..1989.1..1989.2..1990.1..1990.2..1991.1..1991.2..1992.1..1992.2..1993.1..1993.2..1994.1..1994.2..1995.1..1995.2..1996.1..1996.2..1997.1..1997.2..1998.1..1998.2..1999.1..1999.2..2000.1..2000.2..2001.1..2001.2..2002.1..2002.2..2003.1..2003.2..2004.1..2004.2..2005.1..2005.2 - Summer2014,Low
Intercropping,165,17,3,3,50.3,3,1990.2..1991.1..1991.2..1992.1..1992.2..1993.1..1993.2..1994.1 - unspecified,Low
Crop Rotation,144,16,3,2,41,3,1990.2..1991.1..1991.2..1992.1..1992.2..1993.1..1993.2..1994.1 - 2017,Low
Mulch,229,16,3,2,35.4,2,1985.1..1985.2..1986.1..1986.2..1987.1..1987.2..1988.1..1988.2..1989.1..1989.2..1990.1..1990.2..1991.1..1991.2..1992.1..1992.2..1993.1..1993.2..1994.1..1994.2..1995.1..1995.2..1996.1..1996.2..1997.1..1997.2..1998.1..1998.2..1999.1..1999.2..2000.1..2000.2..2001.1..2001.2..2002.1..2002.2..2003.1..2003.2..2004.1..2004.2..2005.1..2005.2 - 2020  summer,Low
pH Control,203,11,1,3,57.1,3,1998 - 2020,Low
Organic Fertilizer,93,10,3,2,91.4,4,2009 - 2019,High
Crop Residue,129,9,2,2,97.7,2,1994 - Summer2014,Moderate
Crop Residue Incorporation,32,7,2,2,75,2,1996-S - 2008S,Moderate
Crop Rotation-Mulch-Reduced Tillage,17,6,3,2,64.7,2,1994.2..1995.2..1996.2 - 2008,Moderate
Multistrata Agroforestry,60,6,2,1,0,3,2003..2004..2005..2006..2007..2008..2009 - 2017,Low
Mulch-Reduced Tillage,14,5,3,2,42.9,2,1985.1..1985.2..1986.1..1986.2..1987.1..1987.2..1988.1..1988.2..1989.1..1989.2..1990.1..1990.2..1991.1..1991.2..1992.1..1992.2..1993.1..1993.2..1994.1..1994.2..1995.1..1995.2..1996.1..1996.2..1997.1..1997.2..1998.1..1998.2..1999.1..1999.2..2000.1..2000.2..2001.1..2001.2..2002.1..2002.2..2003.1..2003.2..2004.1..2004.2..2005.1..2005.2 - 2014,Low
Crop Rotation-Mulch,9,4,3,2,77.8,2,1994.2..1995.2..1996.2 - 2009,Low
Crop Rotation-Reduced Tillage,12,4,2,2,58.3,2,1994.2..1995.2..1996.2 - 2008,Low
Inorganic Fertilizer-Intercropping,22,4,2,1,45.5,3,1990.2..1991.1..1991.2..1992.1..1992.2..1993.1..1993.2..1994.1 - unspecified,Low
Crop Residue Incorporation-Crop Rotation,6,3,1,1,50,2,1997..1998 - 2008,Low
Supplemental Irrigation,47,3,2,2,93.6,4,2011..2012 - 2017,Low
Agroforestry Pruning,7,2,2,2,85.7,4,2003 - 2012,Low
Alleycropping,8,2,1,2,100,4,2010 - 2017,Low
Biochar,14,2,2,2,64.3,3,2019 - 2019,Low
Biochar-Organic Fertilizer,4,2,2,2,75,3,2019 - 2019,Low
Crop Residue-Reduced Tillage,37,2,1,1,100,2,1997 - Summer2014,Low
Crop Rotation-Inorganic Fertilizer,10,2,1,1,0,3,1990.2..1991.1..1991.2..1992.1..1992.2..1993.1..1993.2..1994.1 - 2016,Low
Crop Rotation-Intercropping,9,2,1,1,11.1,3,1990.2..1991.1..1991.2..1992.1..1992.2..1993.1..1993.2..1994.1 - 2012S,Low
Double Cropping,13,2,2,2,7.7,2,1996 - 2005,Low
Improved Fallow,47,2,1,2,100,4,2014S - 2019 Winter,Low
Improved Varieties,256,2,1,2,100,1,2004 - 2015,Low
Inorganic Fertilizer-Organic Fertilizer,6,2,2,2,100,4,2009 - 2016 Spring,Low
Other Agroforestry,15,2,1,1,0,4,2010 - 2014,Low
Agroforestry Pruning-Mulch,4,1,1,1,100,4,2003 - 2003,Low
Agroforestry Pruning-Mulch-pH Control,2,1,1,1,100,4,2003 - 2003,Low
Agroforestry Pruning-Multistrata Agroforestry,1,1,1,1,0,1,2012 - 2012,Low
Alleycropping-Crop Rotation,4,1,1,1,100,3,2017 - 2017,Low
Biochar-Inorganic Fertilizer-Mulch-Organic Fertilizer,1,1,1,1,0,3,2019 - 2019,Low
Biochar-Mulch-Organic Fertilizer,3,1,1,1,0,3,2019 - 2019,Low
Crop Residue Incorporation-Crop Rotation-Mulch-Reduced Tillage,9,1,1,1,100,4,2000S - 2008S,Low
Crop Residue Incorporation-Reduced Tillage,2,1,1,1,100,1,2003 - 2004,Low
Crop Residue-Mulch,20,1,1,1,100,2,1994 - 1998,Low
Crop Residue-Mulch-Reduced Tillage,6,1,1,1,100,2,2018  summer - 2020  summer,Low
Crop Rotation-Inorganic Fertilizer-Intercropping,4,1,1,1,0,3,1990.2..1991.1..1991.2..1992.1..1992.2..1993.1..1993.2..1994.1 - 1990.2..1991.1..1991.2..1992.1..1992.2..1993.1..1993.2..1994.1,Low
Crop Rotation-Inorganic Fertilizer-Mulch,3,1,1,1,100,5,2009 - 2009,Low
Crop Rotation-Intercropping-Reduced Tillage,1,1,1,1,100,4,2013.1 - 2013.1,Low
Crop Rotation-pH Control,4,1,1,1,0,4,2010-11 - 2010-11,Low
Deficit Irrigation,24,1,1,1,100,4,2019 - 2020,Low
Green Manure,10,1,1,1,0,3,2017 - 2018,Low
Harvest Method,9,1,1,1,0,3,2001 - 2003,Low
Harvest Method-Intercropping-Mulch,9,1,1,1,0,3,2001 - 2003,Low
Improved Fallow-Intercropping,7,1,1,1,100,4,2019 Winter - 2019 Winter,Low
Inorganic Fertilizer Reduction,5,1,1,1,0,4,2012 - 2012,Low
Inorganic Fertilizer-Mulch,1,1,1,1,0,3,2019 - 2019,Low
