Practice,slope,lo,hi,p,pct,pct_lo,pct_hi,n,s,sig,label,climate_var,climate_family
pH Control-Solo,-0.309266658019504,-0.396082237020719,-0.222451079018289,1.59391077386949e-10,-26.6014979063637,-32.7048647852526,-19.944583031183,113,8,***,"-26.6% *** (n=113, s=8)",rain_rain_l_5.n_seq_d5,Rainfall
Mulch-Combo,0.222511943516621,0.102089807119683,0.342934079913558,0.000454960199955009,24.9210739530785,10.7482927113748,40.9075872461528,69,8,***,"+24.9% *** (n=69, s=8)",rain_rain_l_5.n_seq_d5,Rainfall
Intercropping-Solo,0.498478962999057,0.206207360219543,0.790750565778571,0.00368653452462965,64.6215410879025,22.9008024948408,120.505084100599,64,6,**,"+64.6% ** (n=64, s=6)",rain_rain_l_5.n_seq_d5,Rainfall
Crop Rotation-Combo,0.102982206111807,-0.0252461531720502,0.231210565395664,0.112633110695733,10.8471684879296,-2.49301340549807,26.0124550140112,46,7,"","+10.8%  (n=46, s=7)",rain_rain_l_5.n_seq_d5,Rainfall
Crop Residue-Combo,0.0683508431907187,-0.0332200607163823,0.16992174709782,0.184026086008006,7.07409047426788,-3.26743342138781,18.5212101404804,77,7,"","+7.1%  (n=77, s=7)",rain_rain_l_5.n_seq_d5,Rainfall
Reduced Tillage-Combo,-0.0414301190170424,-0.104399685249786,0.0215394472157009,0.194017912516865,-4.05836220414996,-9.91348370618936,2.1773095646112,79,8,"","-4.1%  (n=79, s=8)",rain_rain_l_5.n_seq_d5,Rainfall
Inorganic Fertilizer-Solo,0.0206784024675625,-0.025239143365627,0.0665959483007521,0.376509516355773,2.08936819499221,-2.4923298980015,6.88635147932917,571,33,"","+2.1%  (n=571, s=33)",rain_rain_l_5.n_seq_d5,Rainfall
Reduced Tillage-Solo,-0.0555868477379357,-0.193216153866059,0.0820424583901876,0.420175379473216,-5.40701317663225,-17.5696221567559,8.55018975142519,47,6,"","-5.4%  (n=47, s=6)",rain_rain_l_5.n_seq_d5,Rainfall
Organic Fertilizer-Solo,0.0729396229712319,-0.145878025850409,0.291757271792873,0.45682380493231,7.56655894618163,-13.5736885485801,33.8778019009426,76,8,"","+7.6%  (n=76, s=8)",rain_rain_l_5.n_seq_d5,Rainfall
pH Control-Solo,-1.89446244043625,-2.44650534738,-1.3424195334925,7.96917567303981e-10,-84.960083817233,-91.3404319843731,-73.8787109961535,113,8,***,"-85.0% *** (n=113, s=8)",temp_tmean_var,Temperature
