Code,Country,Site.ID,PrName,PrName.Base,Diversity,Product.Simple,Out.SubInd,Units,MeanT,MeanC
NN0470,Brazil,Embrapa Soybean Experimental Station,Organic Fertilizer,Improved Varieties-Inorganic Fertilizer,NA,Soybean,Crop Yield,kg/ha,2546387.57115393,1702814.92525007
NM0046,Brazil,Santa Catarina State University (UDESC),Organic Fertilizer,pH Control,Common Bean/Wheat/Maize/Wheat,Common Bean,Crop Yield,kg/ha,3589.59537572254,1838.15028901734
AC0119,Brazil,"Rafael Fernandes Experimental Farm, Federal Rural Semiarid University (UFERSA), Mossoro",Organic Fertilizer,Inorganic Fertilizer-Supplemental Irrigation,NA,Grape,Crop Yield,kg/ha,13865,7570
NM0067,Brazil,Salgado,Organic Fertilizer,"",NA,Cowpea,Crop Yield,kg/ha,1093,550
NM0066,Brazil,"Vila Maria Rita Agroecological Station, Taperoa",Organic Fertilizer,Intercropping,NA,Sunflower,Crop Yield,kg/ha,203.833333333333,184.166666666667
NM0066,Brazil,"Vila Maria Rita Agroecological Station, Taperoa",Organic Fertilizer,Intercropping,NA,Cotton,Crop Yield,kg/ha,87.25,73.3333333333333
AC0162,Brazil,"Research Farm, Federal Rural University of Pernambuco, Garanhuns",Organic Fertilizer,Improved Varieties,NA,Common Bean,Crop Yield,kg/ha,2237.33333333333,553
AC0103,Mexico,"Nochixtlan district, valley",Organic Fertilizer,Improved Varieties,NA,Maize,Crop Yield,kg/ha,7865,6720
AC0103,Mexico,"Nochixtlan district, terrace",Organic Fertilizer,Improved Varieties,NA,Maize,Crop Yield,kg/ha,5940,2460
JO0098,Mexico,Escuela Superior de Apan,Organic Fertilizer,pH Control,NA,Maize,Crop Yield,kg/ha,4300,1020
JO0098,Mexico,Escuela Superior de Apan,Organic Fertilizer,Inorganic Fertilizer-pH Control,NA,Maize,Crop Yield,kg/ha,6190,4115
AC0116,Mexico,"Centro de Investigaciones Agricolas del Noroeste, CIANO",Organic Fertilizer,Crop Residue Incorporation-Green Manure-Supplemental Irrigation,Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp./Wheat/Sesbania sp.,Wheat,Crop Yield,kg/ha,6657.4572548344,4564.51612903225
AC0116,Mexico,"Centro de Investigaciones Agricolas del Noroeste, CIANO",Organic Fertilizer,Crop Residue Incorporation-Crop Rotation-Supplemental Irrigation,Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize,Wheat,Crop Yield,kg/ha,6434.34256427925,3672.0358327232
