,Code,Source,Link,Location,,,,,"Agro-ecological zone, Soil class(es) and other environmental information",,,,,Crop,,Cropping systems,"Basic experimental objectives and treatment structure.  Record treatment descriptions, including an account of any factorial structure",,Repeated analysis done?,Data Transformation?,Plot size,"Experimental design, numbers of replicates and outline ANOVA table showing degrees of freedom",,,,,,,Data ownership,Control Yield,Treatment Yield,Information on variability,,
,,,,Country,Location within-country,Latitude,Longitude,Date of experiment,Agroecological zone,Soil: Clay content %,Soil: Sand content %,Soil: Silt content %,Mean precipitation at sites,Species,Variety/Varieties,,Treatment descriptions,Practices applied,,,,Experimental design,ANOVA: Number,ANOVA: Source,ANOVA: Degrees of Freedom,ANOVA: Additional information,ANOVA: Analysis of Covariance,Problems or any supp info,,,,Variability: RMS,Variability: Cofficient of Variation,LSD or any other statistic used for multiple comparisons
1,AC0002,Farsia Djidjonri,10.3390/agriengineering3020025,Cameroon,Dang-Ngaoundere;Gouna-Garoua,7.40228;8.49817,13.55044;13.51675,2016;2017,Tropic - warm / subhumid,40.6;27,37;48.8,20.4;23.1,The mean annual precip at Dang-Ngaoundere was 1548 mm; The mean annual precip at Gouna-Garoua was 1258 mm,Cowpea,NA,The base practices were Inorganic Fertilizer and . The experiment was rainfed,"This experiment tested Sole Maize Unsprayed, Sole Maize Sprayed, Sole Cowpea Unsprayed, Sole Cowpea Sprayed, Sole Okra Unsprayed, and Sole Okra Sprayed against Maize main intercrop Unsprayed>>Cowpea minor intercrop Unsprayed***Maize main intercrop Unsprayed, Maize main intercrop Unsprayed>>Maize main intercrop Unsprayed***Okra minor intercrop Unsprayed, Maize main intercrop Unsprayed>>Cowpea tricrop Unsprayed***Maize main intercrop Unsprayed***Okra tricrop Unsprayed, Maize main intercrop Sprayed>>Cowpea minor intercrop Sprayed***Maize main intercrop Sprayed, Maize main intercrop Sprayed>>Maize main intercrop Sprayed***Okra minor intercrop Sprayed, Maize main intercrop Sprayed>>Cowpea tricrop Sprayed***Maize main intercrop Sprayed***Okra tricrop Sprayed, Cowpea minor intercrop Unsprayed>>Cowpea minor intercrop Unsprayed***Maize main intercrop Unsprayed, Cowpea minor intercrop Unsprayed>>Cowpea minor intercrop Unsprayed***Okra main intercrop Unsprayed, Cowpea tricrop Unsprayed>>Cowpea tricrop Unsprayed***Maize main intercrop Unsprayed***Okra tricrop Unsprayed, Cowpea minor intercrop Sprayed>>Cowpea minor intercrop Sprayed***Maize main intercrop Sprayed, Cowpea minor intercrop Sprayed>>Cowpea minor intercrop Sprayed***Okra main intercrop Sprayed, Cowpea tricrop Sprayed>>Cowpea tricrop Sprayed***Maize main intercrop Sprayed***Okra tricrop Sprayed, Okra minor intercrop Unsprayed>>Maize main intercrop Unsprayed***Okra minor intercrop Unsprayed, Okra main intercrop Unsprayed>>Cowpea minor intercrop Unsprayed***Okra main intercrop Unsprayed, Okra tricrop Unsprayed>>Cowpea tricrop Unsprayed***Maize main intercrop Unsprayed***Okra tricrop Unsprayed, Okra minor intercrop Sprayed>>Maize main intercrop Sprayed***Okra minor intercrop Sprayed, Okra main intercrop Sprayed>>Cowpea minor intercrop Sprayed***Okra main intercrop Sprayed, and Okra tricrop Sprayed>>Cowpea tricrop Sprayed***Maize main intercrop Sprayed***Okra tricrop Sprayed.",Intercropping; Inorganic Fertilizer-Intercropping,No,NA,14.4,Split plot with 4 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,Sole Cowpea Sprayed yield was 1.69 t/ha; Sole Cowpea Unsprayed yield was 0.78 t/ha; Sole Maize Sprayed yield was 4 t/ha; Sole Maize Unsprayed yield was 3.34 t/ha; Sole Okra Sprayed yield was 5.63 t/ha; Sole Okra Unsprayed yield was 3.89 t/ha,Cowpea minor intercrop Sprayed>>Cowpea minor intercrop Sprayed***Maize main intercrop Sprayed yield was 0.93 t/ha; Cowpea minor intercrop Sprayed>>Cowpea minor intercrop Sprayed***Okra main intercrop Sprayed yield was 0.93 t/ha; Cowpea minor intercrop Unsprayed>>Cowpea minor intercrop Unsprayed***Maize main intercrop Unsprayed yield was 0.71 t/ha; Cowpea minor intercrop Unsprayed>>Cowpea minor intercrop Unsprayed***Okra main intercrop Unsprayed yield was 0.59 t/ha; Cowpea tricrop Sprayed>>Cowpea tricrop Sprayed***Maize main intercrop Sprayed***Okra tricrop Sprayed yield was 0.58 t/ha; Cowpea tricrop Unsprayed>>Cowpea tricrop Unsprayed***Maize main intercrop Unsprayed***Okra tricrop Unsprayed yield was 0.47 t/ha; Maize main intercrop Sprayed>>Cowpea minor intercrop Sprayed***Maize main intercrop Sprayed yield was 3.51 t/ha; Maize main intercrop Sprayed>>Cowpea tricrop Sprayed***Maize main intercrop Sprayed***Okra tricrop Sprayed yield was 2.69 t/ha; Maize main intercrop Sprayed>>Maize main intercrop Sprayed***Okra minor intercrop Sprayed yield was 3.24 t/ha; Maize main intercrop Unsprayed>>Cowpea minor intercrop Unsprayed***Maize main intercrop Unsprayed yield was 3.27 t/ha; Maize main intercrop Unsprayed>>Cowpea tricrop Unsprayed***Maize main intercrop Unsprayed***Okra tricrop Unsprayed yield was 2.42 t/ha; Maize main intercrop Unsprayed>>Maize main intercrop Unsprayed***Okra minor intercrop Unsprayed yield was 2.92 t/ha; Okra main intercrop Sprayed>>Cowpea minor intercrop Sprayed***Okra main intercrop Sprayed yield was 5.32 t/ha; Okra main intercrop Unsprayed>>Cowpea minor intercrop Unsprayed***Okra main intercrop Unsprayed yield was 3.45 t/ha; Okra minor intercrop Sprayed>>Maize main intercrop Sprayed***Okra minor intercrop Sprayed yield was 4.09 t/ha; Okra minor intercrop Unsprayed>>Maize main intercrop Unsprayed***Okra minor intercrop Unsprayed yield was 3.24 t/ha; Okra tricrop Sprayed>>Cowpea tricrop Sprayed***Maize main intercrop Sprayed***Okra tricrop Sprayed yield was 2.9 t/ha; Okra tricrop Unsprayed>>Cowpea tricrop Unsprayed***Maize main intercrop Unsprayed***Okra tricrop Unsprayed yield was 2.37 t/ha,Not collected in ERA,Not collected in ERA,Error type reported was SE (Standard Error): Cowpea minor intercrop Sprayed 0.0562; Cowpea minor intercrop Unsprayed 0.0538; Cowpea tricrop Sprayed 0.035; Cowpea tricrop Unsprayed 0.0475; Maize main intercrop Sprayed 0.106; Maize main intercrop Unsprayed 0.0917; Okra main intercrop Sprayed 0.29; Okra main intercrop Unsprayed 0.325; Okra minor intercrop Sprayed 0.215; Okra minor intercrop Unsprayed 0.218; Okra tricrop Sprayed 0.24; Okra tricrop Unsprayed 0.205; Sole Cowpea Sprayed 0.105; Sole Cowpea Unsprayed 0.0525; Sole Maize Sprayed 0.208; Sole Maize Unsprayed 0.215; Sole Okra Sprayed 0.332; Sole Okra Unsprayed 0.302
2,AC0007,Ndakidemi,10.1071/EA05274,South Africa,"ARC, Nietvoorbij",-33.9147,18.8613,2003;2004,Subtropic - warm / subhumid,26.9,50.6,17.8,"The mean annual precip at ARC, Nietvoorbij was 727 mm",Cowpea,The variety for Maize is Quartzo; The variety for Cowpea is RR21,"The base practices were , Intercropping, and Inorganic Fertilizer. The experiment was rainfed","This experiment tested Sole Cowpea 0P, Cowpea inter-row 0P>>Cowpea inter-row 0P***Maize intercrop 0P, Cowpea intra-row 0P>>Cowpea intra-row 0P***Maize intercrop 0P, Cowpea intra-hole 0P>>Cowpea intra-hole 0P***Maize intercrop 0P, Sole Cowpea 40P, and Sole Cowpea 80P against Cowpea inter-row 40P>>Cowpea inter-row 40P***Maize intercrop 40P, Cowpea intra-row 40P>>Cowpea intra-row 40P***Maize intercrop 40P, Cowpea intra-hole 40P>>Cowpea intra-hole 40P***Maize intercrop 40P, Cowpea inter-row 80P>>Cowpea inter-row 80P***Maize intercrop 80P, Cowpea intra-row 80P>>Cowpea intra-row 80P***Maize intercrop 80P, and Cowpea intra-hole 80P>>Cowpea intra-hole 80P***Maize intercrop 80P.",Intercropping; Inorganic Fertilizer; Inorganic Fertilizer-Intercropping,"Yes, the experiment was done in 2 seasons",NA,14.4,Split plot design with 4 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,Cowpea inter-row 0P>>Cowpea inter-row 0P***Maize intercrop 0P yield was 0.61 t/ha; Cowpea intra-hole 0P>>Cowpea intra-hole 0P***Maize intercrop 0P yield was 0.2 t/ha; Cowpea intra-row 0P>>Cowpea intra-row 0P***Maize intercrop 0P yield was 0.22 t/ha; Sole Cowpea 0P yield was 1.21 t/ha; Sole Cowpea 40P yield was 1.8 t/ha; Sole Cowpea 80P yield was 2.22 t/ha,Cowpea inter-row 0P>>Cowpea inter-row 0P***Maize intercrop 0P yield was 0.61 t/ha; Cowpea inter-row 40P>>Cowpea inter-row 40P***Maize intercrop 40P yield was 0.85 t/ha; Cowpea inter-row 80P>>Cowpea inter-row 80P***Maize intercrop 80P yield was 0.77 t/ha; Cowpea intra-hole 0P>>Cowpea intra-hole 0P***Maize intercrop 0P yield was 0.2 t/ha; Cowpea intra-hole 40P>>Cowpea intra-hole 40P***Maize intercrop 40P yield was 0.33 t/ha; Cowpea intra-hole 80P>>Cowpea intra-hole 80P***Maize intercrop 80P yield was 0.28 t/ha; Cowpea intra-row 0P>>Cowpea intra-row 0P***Maize intercrop 0P yield was 0.22 t/ha; Cowpea intra-row 40P>>Cowpea intra-row 40P***Maize intercrop 40P yield was 0.39 t/ha; Cowpea intra-row 80P>>Cowpea intra-row 80P***Maize intercrop 80P yield was 0.31 t/ha; Sole Cowpea 40P yield was 1.8 t/ha; Sole Cowpea 80P yield was 2.22 t/ha,Not collected in ERA,Not collected in ERA,Error type reported was SE (Standard Error): Cowpea inter-row 0P 53.7; Cowpea inter-row 40P 129; Cowpea inter-row 80P 114; Cowpea intra-hole 0P 60.3; Cowpea intra-hole 40P 153; Cowpea intra-hole 80P 58.9; Cowpea intra-row 0P 54; Cowpea intra-row 40P 89.8; Cowpea intra-row 80P 71.3; Sole Cowpea 0P 157; Sole Cowpea 40P 145; Sole Cowpea 80P 218
3,AC0013,Garba,10.1007/s10705-018-9921-y,Niger,Bengou;Magaria;Maradi;Konni,11.97917;12.975;13.45917;13.82444,3.55806;8.91722;7.10417;5.28889,2014;2015,Tropic - warm / semiarid,16.9;10.9;21.6;22.2,62.6;79.4;60.7;56.6,17.9;12.3;14.8;17.2,The mean annual precip at Bengou was 735 mm; The mean annual precip at Magaria was 567 mm; The mean annual precip at Maradi was 484 mm; The mean annual precip at Konni was 485 mm,Cowpea; Groundnut,The variety for Maize is Komsaya; The variety for Groundnut is RMP91; The variety for Sorghum is Kapelga; The variety for Cowpea is WL 711; The variety for Rice is WABC 165; The variety for Pearl Millet is Sossat c88,The base practices were Improved Varieties. The experiment was rainfed,"This experiment tested Niger 0FYM Sorghum, Niger 0FYM Pearl Millet, Niger 0FYM Cowpea, and Niger 0FYM Groundnut against Niger 2.5FYM Sorghum, Niger 2.5FYM +N Sorghum, Niger 2.5FYM Pearl Millet, Niger 2.5FYM +N Pearl Millet, Niger 2.5FYM Cowpea, Niger 2.5FYM +N Cowpea, and Niger 2.5FYM +N Groundnut.",Organic Fertilizer; Inorganic Fertilizer-Organic Fertilizer,"Yes, the experiment was done in 2 seasons",NA,NA,RCBD with 3 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Closed Access,Niger 0FYM Cowpea yield was 0.79 t/ha; Niger 0FYM Groundnut yield was 1.06 t/ha; Niger 0FYM Pearl Millet yield was 2.12 t/ha; Niger 0FYM Sorghum yield was 1.08 t/ha,Niger 2.5FYM +N Cowpea yield was 0.64 t/ha; Niger 2.5FYM +N Groundnut yield was 0.9 t/ha; Niger 2.5FYM +N Pearl Millet yield was 2.88 t/ha; Niger 2.5FYM +N Sorghum yield was 0.86 t/ha; Niger 2.5FYM Cowpea yield was 0.69 t/ha; Niger 2.5FYM Pearl Millet yield was 2.13 t/ha; Niger 2.5FYM Sorghum yield was 0.86 t/ha,Not collected in ERA,Not collected in ERA,NA
4,AC0017,Nyirenda,10.1016/j.heliyon.2021.e06636,Malawi,Tembwe EPA,-13.76667,34.45,2019;2011..2012..2013..2014..2015..2016..2017..2018..2019,Tropic - warm / semiarid,28.9,56.1,14.3,The mean annual precip at Tembwe EPA was 897 mm,Groundnut-Maize,The variety for Maize is MH31; The variety for Groundnut is CG7,The base practices were Improved Varieties-Inorganic Fertilizer and Improved Varieties-Inorganic Fertilizer-Mulch-Reduced Tillage. The experiment was rainfed,"This experiment tested FP and MC against PPM, Maize INM>>Gn INM***Maize INM, and Gn INM***Maize INM.",Mulch-Reduced Tillage; Mulch-Reduced Tillage-Water Harvesting; Intercropping-Mulch-Reduced Tillage; Intercropping,"Yes, the experiment was done in 2 seasons",NA,NA,RCBD with 6 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,FP yield was 1.84 t/ha; MC yield was 3.98 t/ha,MC yield was 3.98 t/ha; Maize INM>>Gn INM***Maize INM yield was 4.43 t/ha; PPM yield was 3.99 t/ha,Not collected in ERA,Not collected in ERA,Error type reported was SE (Standard Error): FP 0.021; MC 0.011; Maize INM 0.13; PPM 0.024
5,AC0017,Nyirenda,10.1016/j.heliyon.2021.e06636,Malawi,Tembwe EPA,-13.76667,34.45,2019;2011..2012..2013..2014..2015..2016..2017..2018..2019,Tropic - warm / semiarid,28.9,56.1,14.3,The mean annual precip at Tembwe EPA was 897 mm,Groundnut-Maize,The variety for Maize is MH31; The variety for Groundnut is CG7,The base practices were Improved Varieties-Inorganic Fertilizer and Improved Varieties-Inorganic Fertilizer-Mulch-Reduced Tillage. The experiment was rainfed,"This experiment tested FP and MC against PPM, Maize INM>>Gn INM***Maize INM, and Gn INM***Maize INM.",Mulch-Reduced Tillage; Mulch-Reduced Tillage-Water Harvesting; Intercropping-Mulch-Reduced Tillage; Intercropping,"Yes, the experiment was done in 2 seasons",NA,NA,RCBD with 6 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,FP yield was 1.84 t/ha; MC yield was 3.98 t/ha,MC yield was 3.98 t/ha; Maize INM>>Gn INM***Maize INM yield was 4.43 t/ha; PPM yield was 3.99 t/ha,Not collected in ERA,Not collected in ERA,NA
6,AC0048,Fenta,10.1016/j.geoderma.2021.115523,Ethiopia,"Robit Bata WS, P1..Robit Bata WS, P2..Robit Bata WS, P3..Robit Bata WS, P4..Robit Bata WS, P5",11.47235,37.57985,2016;2017;2016..2017,Tropic - cool / subhumid,43.4,31.9,25.4,"The mean annual precip at Robit Bata WS, P1..Robit Bata WS, P2..Robit Bata WS, P3..Robit Bata WS, P4..Robit Bata WS, P5 was 1297 mm",Maize-Pigeon Pea,The variety for Maize is Amarelo Cela,The base practices were Improved Varieties-Inorganic Fertilizer. The experiment was rainfed,"This experiment tested CT and BT against NT, CT+Bio Maize>>CT+Bio Maize***CT+Bio Pp, and CT+Bio Maize***CT+Bio Pp.",Reduced Tillage; Intercropping,"Yes, the experiment was done in 2 seasons",NA,120,Unspecified design with 5 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,BT yield was 7.37 t/ha; CT yield was 6.41 t/ha,CT+Bio Maize>>CT+Bio Maize***CT+Bio Pp yield was 5.97 t/ha; NT yield was 3.43 t/ha,Not collected in ERA,Not collected in ERA,Error type reported was SE (Standard Error): BT 2.77; CT 2.51; CT+Bio Maize 2.97; NT 1.24
7,AC0052,Agboka,10.1016/j.cropro.2012.08.016,Benin,IITA Conotou,6.4193,2.3295,2005.1;2005.2,Tropic - warm / subhumid,22.2,64.1,14.7,The mean annual precip at IITA Conotou was 1266 mm,Cowpea-Maize,The variety for Maize is Unspecified Improved Variety; The variety for Cowpea is Canadian wonder,The base practices were Improved Varieties-Inorganic Fertilizer. The experiment was rainfed,"This experiment tested Maize mono against Maize int>>Canav3***Maize int, Maize int>>Canav1***Maize int, Maize int>>Cowpea***Maize int, Maize int>>Maize int***Sesbania3, Canav3***Maize int, Canav1***Maize int, Cowpea***Maize int, and Maize int***Sesbania3.",Intercropping; Alleycropping,No,NA,144,RCBD with 4 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Closed Access,Maize mono yield was 6.71 t/ha,Maize int>>Canav1***Maize int yield was 4.96 t/ha; Maize int>>Canav3***Maize int yield was 2.95 t/ha; Maize int>>Cowpea***Maize int yield was 5.8 t/ha; Maize int>>Maize int***Sesbania3 yield was 5.78 t/ha,Not collected in ERA,Not collected in ERA,Error type reported was SE (Standard Error): Maize int 615; Maize mono 931
8,AC0061,Adjei-Nsiah,10.1080/02571862.2021.1959660,Ghana,Yendi,9.58333,-0.5,2016;2017,Tropic - warm / subhumid,NA,NA,NA,The mean annual precip at Yendi was 1091 mm,Soybean,NA,The experiment was rainfed,"This experiment tested No fertilizer against NYL 20P, OYL 20P, TSP 20P, NYL 30P, OYL 30P, TSP 30P, NYL 40P, OYL 40P, and TSP 40P.",Inorganic Fertilizer,"Yes, the experiment was done in 2 seasons",NA,25,RCBD with 4 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Open Access,No fertilizer yield was 0.98 t/ha,NYL 20P yield was 1.83 t/ha; NYL 30P yield was 2.19 t/ha; NYL 40P yield was 2.3 t/ha; OYL 20P yield was 1.8 t/ha; OYL 30P yield was 2.04 t/ha; OYL 40P yield was 1.97 t/ha; TSP 20P yield was 1.77 t/ha; TSP 30P yield was 1.8 t/ha; TSP 40P yield was 2.04 t/ha,Not collected in ERA,Not collected in ERA,Error type reported was SE (Standard Error): NYL 20P 187; NYL 30P 197; NYL 40P 177; No fertilizer 223; OYL 20P 121; OYL 30P 197; OYL 40P 180; TSP 20P 210; TSP 30P 112; TSP 40P 95.2
9,AC0070,Mhlanga,10.1017/S1742170521000028,Zambia,Kawalala..Kapara..Hoya..Mtaya..Chanje..Vuu,NA,NA,2020,NA,NA,NA,NA,The mean annual precip at Kawalala..Kapara..Hoya..Mtaya..Chanje..Vuu was NA mm,Cowpea-Maize,The variety for Cowpea is Fadhari; The variety for Soybean is Farimaso; The variety for Maize is Hewale; The variety for Maize is SC 627; The variety for Maize is ILRI 11114; The variety for Maize is ILRI 12688; The variety for Maize is ILRI 12713,The base practices were Inorganic Fertilizer and Inorganic Fertilizer-Mulch-Reduced Tillage. The experiment was rainfed,"This experiment tested CRFM, DiSM, CPM, and ATDSML Maize against DiSML rot Maize<<DiSML rot, DiSML int Maize>>DiSML int Cowpea***DiSML int Maize, ATDSML Maize<<ATDSML rot, DiSML int Cowpea***DiSML int Maize, and DiSML rot.",Mulch-Reduced Tillage; Crop Rotation-Mulch-Reduced Tillage; Intercropping-Mulch-Reduced Tillage; Crop Rotation; Intercropping-Mulch; Inorganic Fertilizer; Inorganic Fertilizer-Mulch-Reduced Tillage; Crop Rotation-Inorganic Fertilizer-Mulch-Reduced Tillage; Inorganic Fertilizer-Intercropping-Mulch-Reduced Tillage; Improved Varieties-Intercropping-Mulch-Reduced Tillage; Crop Rotation-Improved Varieties-Mulch-Reduced Tillage; Crop Rotation-Improved Varieties,"Yes, the experiment was done in 2 seasons",NA,500,Randomized plots with 30 replications,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Not collected in ERA,Closed Access,ATDSML Maize yield was 2.93 t/ha; CPM yield was 2.96 t/ha; CRFM yield was 3.04 t/ha; DiSM yield was 3.58 t/ha,ATDSML Maize yield was 2.93 t/ha; ATDSML Maize<<ATDSML rot yield was 2.91 t/ha; CRFM yield was 3.04 t/ha; DiSM yield was 3.58 t/ha; DiSML int Maize>>DiSML int Cowpea***DiSML int Maize yield was 3.03 t/ha; DiSML rot Maize<<DiSML rot yield was 3.76 t/ha,Not collected in ERA,Not collected in ERA,Error type reported was SE (Standard Error): ATDSML Maize 118; CPM 149; CRFM 163; DiSM 141; DiSML int Maize 151; DiSML rot Maize 137
