Code,C.Descrip,T.Descrip,Index,Version,issue
LM0001,control,Gypsum + 0.5,"17217,17226,17235,17244,17253,17262",2018,No practices in plist (no valid comparison found)?.
LM0001,control,Gypsum + 1,"17218,17227,17236,17245,17254,17263",2018,No practices in plist (no valid comparison found)?.
LM0001,control,Gypsum + 2,"17219,17228,17237,17246,17255,17264",2018,No practices in plist (no valid comparison found)?.
HK0065,100 full water regime,rainfed,"37055,37058,37061,37064,37067,37070,37073,37076,37079,37082",2018,No practices in plist (no valid comparison found)?.
JS0110,furrow,trickle/sprinkler,"61893,61894,61895,61899,61905,61906",2018,No practices in plist (no valid comparison found)?.
JS0130.1,furrow blended 4.5 salinity,drip blended 4.5 salinity,"62361,62364",2018,No practices in plist (no valid comparison found)?.
JS0130.1,furrow cyclic 3 salinity,drip cyclic 3 salinity,"62365,62370,62373",2018,No practices in plist (no valid comparison found)?.
JS0130.1,furrow cyclic 4.5 salinity,drip cyclic 4.5 salinity,"62366,62367",2018,No practices in plist (no valid comparison found)?.
JS0130.1,furrow cyclic 2 salinity,drip cyclic 2 salinity,"62368,62372,62377",2018,No practices in plist (no valid comparison found)?.
JS0130.1,furrow blended 3 salinity,drip blended 3 salinity,"62369,62376,62379",2018,No practices in plist (no valid comparison found)?.
JS0130.1,furrow blended 2 salinity,drip blended 2 salinity,"62371,62378,62382",2018,No practices in plist (no valid comparison found)?.
JS0130.1,furrow cyclic .55 salinity,drip cyclic .55 salinity,"62374,62380",2018,No practices in plist (no valid comparison found)?.
JS0130.1,furrow blended .55 salinity,drip blended .55 salinity,"62375,62381",2018,No practices in plist (no valid comparison found)?.
JS0130.3,furrow cyclic 4.5 salinity,drip cyclic 4.5 salinity,62407,2018,No practices in plist (no valid comparison found)?.
JS0130.3,furrow cyclic .55 salinity,drip cyclic .55 salinity,62408,2018,No practices in plist (no valid comparison found)?.
JS0185,FYM,FYM + Gypsum,"64695,64699,64704,64709",2018,No practices in plist (no valid comparison found)?.
JS0428,fully irrigated,rainfed,"73541,73546,73547,73556,73559,73562,73571,73572,73577,73582,73585,73586,73589,73596,73599,73604",2018,No practices in plist (no valid comparison found)?.
LM0161,cut and carry,cut and leave (incoperation at harvest),"24946,24953,24994,25001,25042,25049,25090,25097,25104,25111,25118,25125",2018,No practices in plist (no valid comparison found)?.
HK0205,M1b1  intercropping surface irrigation,M1b1  intercropping drip irrigation,"44460,44461,44483,44484",2018,No practices in plist (no valid comparison found)?.
HK0205,M1b2 intercropping surface irrigation,M1b2 intercropping drip irrigation,"44462,44463,44485,44486",2018,No practices in plist (no valid comparison found)?.
HK0205,intercropping surface (across varieties),intercropping drip irrigation (dry) (acrosss varieties),"44515,44516,44517,44518,44519,44520,44521,44522,44523,44524,44525,44526",2018,No practices in plist (no valid comparison found)?.
AN0054,Control NPK,ASH,"78929,78940,78951,78962,78973,78984",2020,No practices in plist (no valid comparison found)?.
AG0113,Alternative furrow - 100% ET,Alternative furrow - 50% ET,"89284,89303,89321,89339,89357,89375",2020,No practices in plist (no valid comparison found)?.
AG0113,Alternative furrow - 100% ET,Alternative furrow - 75% ET,"89287,89302,89320,89338,89356,89374",2020,No practices in plist (no valid comparison found)?.
AG0113,Fixed furrow - 100% ET,Alternative furrow - 50% ET,"89290,89309,89327,89345,89363,89381",2020,No practices in plist (no valid comparison found)?.
AG0113,Fixed furrow - 100% ET,Alternative furrow - 75% ET,"89293,89308,89326,89344,89362,89380",2020,No practices in plist (no valid comparison found)?.
AG0113,Conventional furrow - 100% ET,Alternative furrow - 50% ET,"89296,89315,89333,89351,89369,89387",2020,No practices in plist (no valid comparison found)?.
