Index,Code,Author,Date,Journal,DOI,Elevation,Country,ISO.3166.1.alpha.3,Site.Type,Site.ID,MAT,MAP,TAP,MSP,TSP,Soil.Type,Soil.Classification,Soil.Texture,SOC,SOC.Unit,SOC.Depth,Soil.pH,Soil.pH.Method,Plant.Start,Plant.End,Harvest.Start,Harvest.End,Rep,Plot.Size,CID,C.Descrip,C.NI,C.NO,TID,T.Descrip,T.NI,T.NO,Diversity,Variety,Tree,Duration,M.Year,M.Year.Start,M.Year.End,Season.Start,Season.End,EU,Outcode,Units,MeanC,MeanT,Upper,Lower,DataLoc,MeanFlip,T.Feed.Source,C.Feed.Source,Species,Partial.Outcome.Name,Partial.Outcome.Code,MeanT.Error,Mean.Error.Type,MeanC.Error,Analysis.Function,Version,Mulch.Code,Rep.Animals,Tree.Feed,Irrigation.C,Irrigation.T,Irrig.Meth.C,B.Code,USD2010.C,USD2010.T,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,ID,obs_count,out_count,Lat,Lon,yi,pc,plist,base.list,EUlist,Out.Pillar,Out.SubPillar,Out.Ind,Out.SubInd,SubPrName,PrName,Theme,SubPrName.Base,PrName.Base,Theme.Base,Product,Product.Type,Product.Subtype,Product.Simple,Latitude,Longitude,Buffer,Site.Key,AEZ16simple,AEZ16,AEZ5,Mean.Annual.Precip,Mean.Annual.Temp,CLY,SND,SLT
8940,NN0166,Kgonyane MC,2013,RES CROP,"",1138,South Africa,ZAF,Farm,Bokgaga,22.4,746.4,,,,"","",sandy clay loam,0.44,mg/kg,20,5.18,H2O,2007-10-15,2007-11-15,,,3,,"","",,,T1,basal k + 14N,14,,"",Pan 6479,"",1,2007,2007,2007,1,1,c7,125.2,"",,0.524,,,Fig 1,N,"","","",N fertilizer,b17,,"",,Manual,2018,"","","",FALSE,FALSE,"",NN0166,,,"","","","","","","","","","","","","",b16,b17,b69,h2,h66.2,"","","","","","","","",1812,39,3,-24.0267333333333,30.6681166666667,,,b16-b17-b69,"",c7,Productivity,Economics,Economic Performance,Benefit Cost Ratio (GMVC),Inputs K-Inputs N-Seed Improv,Improved Varieties-Inorganic Fertilizer,Genetic improvement-Nutrient Management,"","","",Maize,Plant,Cereals,Maize,-24.02673,30.66812,250,-24.0267 30.6681 B250,Warm.Semiarid,Tropic - warm/semiarid,Semi-Arid,702.409677419355,22.2,22.5,58.1,13.7
8941,NN0166,Kgonyane MC,2013,RES CROP,"",1138,South Africa,ZAF,Farm,Bokgaga,22.4,746.4,,,,"","",sandy clay loam,0.44,mg/kg,20,5.18,H2O,2007-10-15,2007-11-15,,,3,,"","",,,T2,basal k + 28N,28,,"",Pan 6479,"",1,2007,2007,2007,1,1,c7,125.2,"",,0.754,,,Fig 1,N,"","","",N fertilizer,b17,,"",,Manual,2018,"","","",FALSE,FALSE,"",NN0166,,,"","","","","","","","","","","","","",b16,b17,b69,h2,h66.2,"","","","","","","","",1812,39,3,-24.0267333333333,30.6681166666667,,,b16-b17-b69,"",c7,Productivity,Economics,Economic Performance,Benefit Cost Ratio (GMVC),Inputs K-Inputs N-Seed Improv,Improved Varieties-Inorganic Fertilizer,Genetic improvement-Nutrient Management,"","","",Maize,Plant,Cereals,Maize,-24.02673,30.66812,250,-24.0267 30.6681 B250,Warm.Semiarid,Tropic - warm/semiarid,Semi-Arid,702.409677419355,22.2,22.5,58.1,13.7
8942,NN0166,Kgonyane MC,2013,RES CROP,"",1138,South Africa,ZAF,Farm,Bokgaga,22.4,746.4,,,,"","",sandy clay loam,0.44,mg/kg,20,5.18,H2O,2007-10-15,2007-11-15,,,3,,"","",,,T3,basal k + 56N,56,,"",Pan 6479,"",1,2007,2007,2007,1,1,c7,125.2,"",,0.802,,,Fig 1,N,"","","",N fertilizer,b17,,"",,Manual,2018,"","","",FALSE,FALSE,"",NN0166,,,"","","","","","","","","","","","","",b16,b17,b69,h2,h66.2,"","","","","","","","",1812,39,3,-24.0267333333333,30.6681166666667,,,b16-b17-b69,"",c7,Productivity,Economics,Economic Performance,Benefit Cost Ratio (GMVC),Inputs K-Inputs N-Seed Improv,Improved Varieties-Inorganic Fertilizer,Genetic improvement-Nutrient Management,"","","",Maize,Plant,Cereals,Maize,-24.02673,30.66812,250,-24.0267 30.6681 B250,Warm.Semiarid,Tropic - warm/semiarid,Semi-Arid,702.409677419355,22.2,22.5,58.1,13.7
8943,NN0166,Kgonyane MC,2013,RES CROP,"",653,South Africa,ZAF,Farm,Mafarana,22.4,746.4,,,,"","",sandy clay,1.25,mg/kg,20,6.21,H2O,2008-10-15,2008-11-15,,,3,,"","",,,T1,basal k + 14N,14,,"",Pan 6479,"",2,2008,2008,2008,1,1,c7,125.2,"",,1.598,,,Fig 1,N,"","","",N fertilizer,b17,,"",,Manual,2018,"","","",FALSE,FALSE,"",NN0166,,,"","","","","","","","","","","","","",b16,b17,b69,h2,h66.2,"","","","","","","","",1812,39,3,-23.9598333333333,30.3702833333333,,,b16-b17-b69,"",c7,Productivity,Economics,Economic Performance,Benefit Cost Ratio (GMVC),Inputs K-Inputs N-Seed Improv,Improved Varieties-Inorganic Fertilizer,Genetic improvement-Nutrient Management,"","","",Maize,Plant,Cereals,Maize,-23.95983,30.37028,250,-23.9598 30.3703 B250,Warm.Semiarid,Tropic - warm/semiarid,Semi-Arid,990.145161290323,20,26,55.9,14.3
8944,NN0166,Kgonyane MC,2013,RES CROP,"",653,South Africa,ZAF,Farm,Mafarana,22.4,746.4,,,,"","",sandy clay,1.25,mg/kg,20,6.21,H2O,2008-10-15,2008-11-15,,,3,,"","",,,T2,basal k + 28N,28,,"",Pan 6479,"",2,2008,2008,2008,1,1,c7,125.2,"",,0.73,,,Fig 1,N,"","","",N fertilizer,b17,,"",,Manual,2018,"","","",FALSE,FALSE,"",NN0166,,,"","","","","","","","","","","","","",b16,b17,b69,h2,h66.2,"","","","","","","","",1812,39,3,-23.9598333333333,30.3702833333333,,,b16-b17-b69,"",c7,Productivity,Economics,Economic Performance,Benefit Cost Ratio (GMVC),Inputs K-Inputs N-Seed Improv,Improved Varieties-Inorganic Fertilizer,Genetic improvement-Nutrient Management,"","","",Maize,Plant,Cereals,Maize,-23.95983,30.37028,250,-23.9598 30.3703 B250,Warm.Semiarid,Tropic - warm/semiarid,Semi-Arid,990.145161290323,20,26,55.9,14.3
8945,NN0166,Kgonyane MC,2013,RES CROP,"",653,South Africa,ZAF,Farm,Mafarana,22.4,746.4,,,,"","",sandy clay,1.25,mg/kg,20,6.21,H2O,2008-10-15,2008-11-15,,,3,,"","",,,T3,basal k + 56N,56,,"",Pan 6479,"",2,2008,2008,2008,1,1,c7,125.2,"",,0.692,,,Fig 1,N,"","","",N fertilizer,b17,,"",,Manual,2018,"","","",FALSE,FALSE,"",NN0166,,,"","","","","","","","","","","","","",b16,b17,b69,h2,h66.2,"","","","","","","","",1812,39,3,-23.9598333333333,30.3702833333333,,,b16-b17-b69,"",c7,Productivity,Economics,Economic Performance,Benefit Cost Ratio (GMVC),Inputs K-Inputs N-Seed Improv,Improved Varieties-Inorganic Fertilizer,Genetic improvement-Nutrient Management,"","","",Maize,Plant,Cereals,Maize,-23.95983,30.37028,250,-23.9598 30.3703 B250,Warm.Semiarid,Tropic - warm/semiarid,Semi-Arid,990.145161290323,20,26,55.9,14.3
8946,NN0166,Kgonyane MC,2013,RES CROP,"",1230,South Africa,ZAF,Farm,Mothiba,18.85,432.5,,,,"","",sandy loam,0.37,mg/kg,20,4.94,H2O,2008-10-15,2008-11-15,,,3,,"","",,,T1,basal k + 14N,14,,"",Pan 6479,"",2,2008,2008,2008,1,1,c7,125.2,"",,2.366,,,Fig 1,N,"","","",N fertilizer,b17,,"",,Manual,2018,"","","",FALSE,FALSE,"",NN0166,,,"","","","","","","","","","","","","",b16,b17,b69,h2,h66.2,"","","","","","","","",1812,39,3,-23.8419833333333,29.7342333333333,,,b16-b17-b69,"",c7,Productivity,Economics,Economic Performance,Benefit Cost Ratio (GMVC),Inputs K-Inputs N-Seed Improv,Improved Varieties-Inorganic Fertilizer,Genetic improvement-Nutrient Management,"","","",Maize,Plant,Cereals,Maize,-23.84198,29.73423,250,-23.8420 29.7342 B250,Cool.Semiarid,Tropic - cool/semiarid,Tropical Highlands,769.141935483871,19.8,23,60.4,16.2
8947,NN0166,Kgonyane MC,2013,RES CROP,"",1230,South Africa,ZAF,Farm,Mothiba,18.85,432.5,,,,"","",sandy loam,0.37,mg/kg,20,4.94,H2O,2008-10-15,2008-11-15,,,3,,"","",,,T2,basal k + 28N,28,,"",Pan 6479,"",2,2008,2008,2008,1,1,c7,125.2,"",,1.31,,,Fig 1,N,"","","",N fertilizer,b17,,"",,Manual,2018,"","","",FALSE,FALSE,"",NN0166,,,"","","","","","","","","","","","","",b16,b17,b69,h2,h66.2,"","","","","","","","",1812,39,3,-23.8419833333333,29.7342333333333,,,b16-b17-b69,"",c7,Productivity,Economics,Economic Performance,Benefit Cost Ratio (GMVC),Inputs K-Inputs N-Seed Improv,Improved Varieties-Inorganic Fertilizer,Genetic improvement-Nutrient Management,"","","",Maize,Plant,Cereals,Maize,-23.84198,29.73423,250,-23.8420 29.7342 B250,Cool.Semiarid,Tropic - cool/semiarid,Tropical Highlands,769.141935483871,19.8,23,60.4,16.2
8948,NN0166,Kgonyane MC,2013,RES CROP,"",1230,South Africa,ZAF,Farm,Mothiba,18.85,432.5,,,,"","",sandy loam,0.37,mg/kg,20,4.94,H2O,2008-10-15,2008-11-15,,,3,,"","",,,T3,basal k + 56N,56,,"",Pan 6479,"",2,2008,2008,2008,1,1,c7,125.2,"",,0.696,,,Fig 1,N,"","","",N fertilizer,b17,,"",,Manual,2018,"","","",FALSE,FALSE,"",NN0166,,,"","","","","","","","","","","","","",b16,b17,b69,h2,h66.2,"","","","","","","","",1812,39,3,-23.8419833333333,29.7342333333333,,,b16-b17-b69,"",c7,Productivity,Economics,Economic Performance,Benefit Cost Ratio (GMVC),Inputs K-Inputs N-Seed Improv,Improved Varieties-Inorganic Fertilizer,Genetic improvement-Nutrient Management,"","","",Maize,Plant,Cereals,Maize,-23.84198,29.73423,250,-23.8420 29.7342 B250,Cool.Semiarid,Tropic - cool/semiarid,Tropical Highlands,769.141935483871,19.8,23,60.4,16.2
8949,NN0166,Kgonyane MC,2013,RES CROP,"",1279,South Africa,ZAF,Farm,Perskebult,19.9,335.6,,,,"","",sandy loam,0.39,mg/kg,20,4.98,H2O,2008-10-15,2008-11-15,,,3,,"","",,,T1,basal k + 14N,14,,"",Pan 6479,"",2,2008,2008,2008,1,1,c7,125.2,"",,1.902,,,Fig 1,N,"","","",N fertilizer,b17,,"",,Manual,2018,"","","",FALSE,FALSE,"",NN0166,,,"","","","","","","","","","","","","",b16,b17,b69,h2,h66.2,"","","","","","","","",1812,39,3,-23.7982166666667,29.33325,,,b16-b17-b69,"",c7,Productivity,Economics,Economic Performance,Benefit Cost Ratio (GMVC),Inputs K-Inputs N-Seed Improv,Improved Varieties-Inorganic Fertilizer,Genetic improvement-Nutrient Management,"","","",Maize,Plant,Cereals,Maize,-23.79822,29.33325,250,-23.7982 29.3332 B250,Cool.Arid,Tropic - cool/arid,Tropical Highlands,529.032258064516,19.8,20.9,64.7,12
