Table,Table_Description,Field,Calculated,Display_Name,Data_Type,Field_Description,Notes,Values,Validation,Required,Ref_Source,Ref_Name,Ref_Link,Ref_Match,Ref_Notes,Translation source,Spanish Translation,Ref2_DataScribe,Ref2_Source,Ref2_Name,Ref2_Link,Ref2_Match,Ref2_Notes,Other_Links,...26,...27
Pub.Out,"This tab is to capture basic information from the article you are screening. A critical field is the article doi please check the instructions for how to enter this correctly. Please strip the “https://doi.org/” when entering a doi . Correct = “10.1002/jrsm.1563”, Incorrect = “https://onlinelibrary.wiley.com/doi/full/10.1002/jrsm.1563”.",B.Code,Yes,ERA Publication Code,Character,A unique publication code should be automatically assigned.,,concatenation of unique userID and a number,NA,NA,,,,,,,,,,,,,,,,
Pub.Out,"This tab is to capture basic information from the article you are screening. A critical field is the article doi please check the instructions for how to enter this correctly. Please strip the “https://doi.org/” when entering a doi . Correct = “10.1002/jrsm.1563”, Incorrect = “https://onlinelibrary.wiley.com/doi/full/10.1002/jrsm.1563”.",B.Author.Last,No,Author Last Name,Character,Publication first author's surname.,,Free Text,NA,NA,,,,,,,,,,,,,,,,
Pub.Out,"This tab is to capture basic information from the article you are screening. A critical field is the article doi please check the instructions for how to enter this correctly. Please strip the “https://doi.org/” when entering a doi . Correct = “10.1002/jrsm.1563”, Incorrect = “https://onlinelibrary.wiley.com/doi/full/10.1002/jrsm.1563”.",B.Date,No,Year Published,Integer  (YYYY),The year of publication.,,NA,Integer >1950 & <=Present Year,Yes,,,,,,,,,,,,,,,,
Pub.Out,"This tab is to capture basic information from the article you are screening. A critical field is the article doi please check the instructions for how to enter this correctly. Please strip the “https://doi.org/” when entering a doi . Correct = “10.1002/jrsm.1563”, Incorrect = “https://onlinelibrary.wiley.com/doi/full/10.1002/jrsm.1563”.",B.Journal,No,Journal,Character,Name of journal this research is published in.,,SCiO should have some ideas how to populate this field,NA,Yes,,,,,,,,,,,,,,,,
Pub.Out,FIELD NOT REQUIRED,B.New,Yes,New Journal Name Used?,Character,NA,No longer revelant,"Yes,No",This is flag to indicate if a journal name has been entered that is not in a lookup table,NA,,,,,,,,,,,,,,,,
Pub.Out,"This tab is to capture basic information from the article you are screening. A critical field is the article doi please check the instructions for how to enter this correctly. Please strip the “https://doi.org/” when entering a doi . Correct = “10.1002/jrsm.1563”, Incorrect = “https://onlinelibrary.wiley.com/doi/full/10.1002/jrsm.1563”.",B.DOI,No,DOI,Character,"Digital object identifier (DOI) for the publication (e.g. 10.1080/03650340.2017.1411589). Do not include https://doi.org/ when entering this. Please strip the “https://doi.org/” when entering a doi . Correct = “10.1002/jrsm.1563”, Incorrect = “https://doi.org/10.1002/jrsm.1563”.
If there is no DOI for a publication then report the https address of the article.",,Free Text,Strip out https://,One of B.Doi or B.Url required,,,,,,,,,,,,,,,,
Pub.Out,"This tab is to capture basic information from the article you are screening. A critical field is the article doi please check the instructions for how to enter this correctly. Please strip the “https://doi.org/” when entering a doi . Correct = “10.1002/jrsm.1563”, Incorrect = “https://onlinelibrary.wiley.com/doi/full/10.1002/jrsm.1563”.",B.Url,No,Website,Character,"For a publication with no DOI, please enter the full website address where it can be found.",Has this field been merged with doi in the new data model,Free Text,Should be a web address,One of B.Doi or B.Url required,,,,,,,,,,,,,,,,
Pub.Out,"This tab is to capture basic information from the article you are screening. A critical field is the article doi please check the instructions for how to enter this correctly. Please strip the “https://doi.org/” when entering a doi . Correct = “10.1002/jrsm.1563”, Incorrect = “https://onlinelibrary.wiley.com/doi/full/10.1002/jrsm.1563”.",B.Project,No,Project,Character,,,"Data extractions will relate to specific projects/budgets/modules this field will link to a table of projects that the user can define, or a user is assigned to a specific project and it autofills.",NA,Yes,,,,,,,,,,,,,,,,
Pub.Out,"This tab is to capture basic information from the article you are screening. A critical field is the article doi please check the instructions for how to enter this correctly. Please strip the “https://doi.org/” when entering a doi . Correct = “10.1002/jrsm.1563”, Incorrect = “https://onlinelibrary.wiley.com/doi/full/10.1002/jrsm.1563”.",B.Link1,No,Linked Publication DOI/Website 1,Character,Publications that are referenced in this publication that may present results from the same experiment.,,Free Text,Should be a web address or DOI,No,,,,,,,,,,,,,,,,
Pub.Out,"This tab is to capture basic information from the article you are screening. A critical field is the article doi please check the instructions for how to enter this correctly. Please strip the “https://doi.org/” when entering a doi . Correct = “10.1002/jrsm.1563”, Incorrect = “https://onlinelibrary.wiley.com/doi/full/10.1002/jrsm.1563”.",B.Link2,No,Linked Publication DOI/Website 2,Character,Publications that are referenced in this publication that may present results from the same experiment.,,Free Text,Should be a web address or DOI,No,,,,,,,,,,,,,,,,
Pub.Out,"This tab is to capture basic information from the article you are screening. A critical field is the article doi please check the instructions for how to enter this correctly. Please strip the “https://doi.org/” when entering a doi . Correct = “10.1002/jrsm.1563”, Incorrect = “https://onlinelibrary.wiley.com/doi/full/10.1002/jrsm.1563”.",B.Link3,No,Linked Publication DOI/Website 3,Character,Publications that are referenced in this publication that may present results from the same experiment.,,Free Text,Should be a web address or DOI,No,,,,,,,,,,,,,,,,
Pub.Out,"This tab is to capture basic information from the article you are screening. A critical field is the article doi please check the instructions for how to enter this correctly. Please strip the “https://doi.org/” when entering a doi . Correct = “10.1002/jrsm.1563”, Incorrect = “https://onlinelibrary.wiley.com/doi/full/10.1002/jrsm.1563”.",B.Link4,No,Linked Publication DOI/Website 4,Character,Publications that are referenced in this publication that may present results from the same experiment.,,Free Text,Should be a web address or DOI,No,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Type,No,What is the context of the experiment?,Character,This describes the nature of the field and who is managing it,,lookup_levels$Site.Type,NA,Yes,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Country,No,Country,Character,,,Country$Countries,NA,Yes,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.ID,No,Site Name,Character,"If  you select a site name that already exists in ERA, the latitude and longitude fields will auto-populate. Please check the auto-generated co-ordinates against the ones reported in the publication and in GoogleMaps/Earth. If there is a mismatch you can overwrite the autogenerated values.",,"Free Text/Can choose exisiting Site.ID for specified Country within the database or add a new one, perhaps the list should also be subset by Site experimental type. If co-ordinates are changed for the site we need to Flag this to check.",None,Yes,,,,,,,,,,,,,,,,
Site.Out,"Here we record the geographic co-ordinates of where an experiment has taken place and the uncertainty associated with this. You can record multiple locations. 
For each site you can also capture general biophysical information about the site and the starting conditions that describe the soils of the site.",Site.Admin,No,How is the location reported?,Character,"A qualitative measure of how accurate you think the location reporting is. If the study is at a research station, but we only know the location of the city where the station is,  we record ""City"". If we know the exact location of the station record ""Facility"".",,lookup_levels$Site.Admin,NA,Yes,,,,,,,,,,,,,,,,
