Site.Key,M.Year,Product.Simple,Plant.Start,Plant.End
-11.3769 -37.6739 B1000,2001,maize,,
-11.3769 -37.6739 B1000,2001,maize,,
-11.3769 -37.6739 B1000,2001,maize,,
-11.3769 -37.6739 B1000,2002,maize,,
-11.3769 -37.6739 B1000,2002,maize,,
-11.3769 -37.6739 B1000,2002,maize,,
-11.3769 -37.6739 B1000,2003,maize,,
-11.3769 -37.6739 B1000,2003,maize,,
-11.3769 -37.6739 B1000,2003,maize,,
-11.7666 -45.7243 B500,2009,coffee,,
-11.7666 -45.7243 B500,2009,coffee,,
-11.7666 -45.7243 B500,2009,coffee,,
-11.7666 -45.7243 B500,2009,coffee,,
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-14.8683 -40.7486 B500,2016,maize,2016-02-01,2016-03-31
-15.5844 -47.7308 B1500,2011..2012,coffee,,
-15.5844 -47.7308 B1500,2011..2012,coffee,,
-15.5844 -47.7308 B1500,2011..2012,coffee,,
-15.5844 -47.7308 B1500,2011..2012,coffee,,
-15.5844 -47.7308 B1500,2011..2012,coffee,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-15.6009 -47.7143 B1000,2005S..2007S..2009S..2011S,maize,,
-17.6424 -43.3317 B26000,2011,common bean,2010-05-01,2011-04-28
-17.6424 -43.3317 B26000,2011,common bean,2010-05-01,2011-04-28
-17.6424 -43.3317 B26000,2011,maize,2010-05-01,2011-04-28
-17.6424 -43.3317 B26000,2011,maize,2010-05-01,2011-04-28
-19.4167 -47.9833 B54000,2010,maize,2009-10-20,2009-10-30
-19.4167 -47.9833 B54000,2010,maize,2009-10-20,2009-10-30
-19.4167 -47.9833 B54000,2010,maize,2009-10-20,2009-10-30
-19.4167 -47.9833 B54000,2010,maize,2009-10-20,2009-10-30
-19.4167 -47.9833 B54000,2010,maize,2009-10-20,2009-10-30
-19.4167 -47.9833 B54000,2010,maize,2009-10-20,2009-10-30
-19.4667 -44.2522 B20000,2005W..2006W..2007W,maize,,
-19.4667 -44.2522 B20000,2005W..2006W..2007W,maize,,
-19.4667 -44.2522 B20000,2005W..2006W..2007W,maize,,
-19.4667 -44.2522 B20000,2005W..2006W..2007W,maize,,
-19.4667 -44.2522 B20000,2005W..2006W..2007W,maize,,
-19.4667 -44.2522 B20000,2005W..2006W..2007W,maize,,
-2.6833 -60.8419 B25000,2006W..2007W,maize,,
-2.6833 -60.8419 B25000,2006W..2007W,maize,,
-20.6069 -42.1457 B10000,2005..2006..2007,coffee,,
